,level_0,id,docid,title,author,date,genre,lhs,match,rhs,Level 1,Level 2,domain,comment,index,Unnamed: 0,Unnamed: 0.1,Context before,token,Context after
0,0,0,K098900002.55.a0,The lucubrations of Isaac Bickerstaff Esq: revised and corrected by the author. .. [pt.2],"Steele, Richard",1709,letters,"Heart . I am _o intimately acquainted with him , that he makes no Scruple of communicating to me an ",ardent,"Affection he has for Cleora , a Friend of mine , who al_o makes me her Confident . Mo_t Part of my ",Y,MET,emotion,,0,,,"heart . i am _o intimately acquainted with him , that he makes no scruple of communicating to me an",ardent,"affection he has for cleora , a friend of mine , who al_o makes me her confident . mo_t part of my"
1,1,1,99829212,"A call to weeping: or A warning touching approaching miseries In a sermon preached on the 20th of March, 1699. At the funeral of Mrs. Elizabeth Westen, late wife of Mr. John Westen, who departed this life on the 17th of the said month, in the 38th year of her age. By Benjamin Keach.","Keach, Benjamin",1699,sermons_funeral,"evated to the highest pitch ; the Understanding clear , the Memory firm , the Will , and Affections ",ardent,"and vigorous . 2 . They gain more clear and glorious sights of God in Jesus Christ , they are near ",Y,MET,emotion,,1,,,"evated to the highest pitch ; the understanding clear , the memory firm , the will , and affections",ardent,"and vigorous . 2 . they gain more clear and glorious sights of god in jesus christ , they are near"
2,3,3,12561232,"A pastoral letter to the English captives, in Africa, from New-England","Mather, Cotton",1698,letters_pastoral,"which we have of you , causes us , Without ceasi_g to make mention of you in our prayers , and our ",ardent,"and constant cries unto the G_d of all Grace , that you may have Grace to Help you , in your Time o",Y,MET,action,are these actions or emotions? LF: I'd say it's not crying out of sadness but rather 'calling onto',3,,,"which we have of you , causes us , without ceasi_g to make mention of you in our prayers , and our",ardent,"and constant cries unto the g_d of all grace , that you may have grace to help you , in your time o"
3,6,6,A36697.a6,"Sylv¾, or, The second part of Poetical miscellanies","Dryden, John",1685,poetry,"e freed , And eager to inject the sprightly seed . For fierce desire does all his mind employ , And ",ardent,"Love assures approaching joy . Such is the nature of that pleasing smart , Whose burning drops dist",Y,MET,emotion,,6,,,"e freed , and eager to inject the sprightly seed . for fierce desire does all his mind employ , and",ardent,"love assures approaching joy . such is the nature of that pleasing smart , whose burning drops dist"
4,7,7,A36697.a6,"Sylv¾, or, The second part of Poetical miscellanies","Dryden, John",1685,poetry,"wound . But love those eage_ bi__ngs does res_rain , And mingling pleasure molli_ies the pain . _or ",ardent,"hope still flatters anxious grief , And sends him to his Foe to seek relief : Which yet the nature ",Y,MET,emotion,,7,,,"wound . but love those eage_ bi__ngs does res_rain , and mingling pleasure molli_ies the pain . _or",ardent,"hope still flatters anxious grief , and sends him to his foe to seek relief : which yet the nature"
5,10,10,1722300500,"A sermon preached before the King in St. James's Chapel, upon the first of August 1715: being the first anniversary return of His Majesty's inauguration. By the Right Reverend Father in God William lord bishop of Lincoln. Publish'd by His Majesty's special command.","Wake, William",1715,sermons,"then , We cannot but account it highly reasonable for Us , in the first Place , to put up our most ",ardent,"Prayers to Almighty God for the Preservation of our King , in the like manner , and with the same d",Y,MET,action,,10,,,"then , we cannot but account it highly reasonable for us , in the first place , to put up our most",ardent,"prayers to almighty god for the preservation of our king , in the like manner , and with the same d"
6,12,12,N00179,"A relation of the troubles which have hapned in New-England, by reason of the Indians there. From the year 1614 to the year 1675. : Wherein the frequent conspiracyes of the Indians to cutt off the English, and the wonderfull providence of God, in disappointing their devices, is declared. : Together with an historical discourse concerning the prevalency of prayer; shewing that New Englands late deliverance from the rage of the heathen is an eminent answer of prayer. / By Increase Mather teacher of a church in Boston in New-England. ; [Nine lines of quotations]","Mather, Increase",1677,prose,"ing in the Army , withdrew themselves apart from the rest , and falling prostrate on the earth , by ",ardent,"prayers prevailed with God , that he immediately sent a most plentifull rain , whereby the Army tha",Y,MET,dedication,,12,,,"ing in the army , withdrew themselves apart from the rest , and falling prostrate on the earth , by",ardent,"prayers prevailed with god , that he immediately sent a most plentifull rain , whereby the army tha"
7,13,13,A42035,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.","Boyle, Robert",1691,science,"Subject , he has thought it expedient to reduce them to the following Propo_itions . Sect. I . The ",Ardent,Spirits of Vegetables are nothing el_e but the Oleous Particles of the_e Vegetables _ubtilized by F,Y,LIT,,"Just to be sure; this is called ardent because they will burst into flames, that makes it literal right? ",13,,,"subject , he has thought it expedient to reduce them to the following propo_itions . sect. i . the",Ardent,spirits of vegetables are nothing el_e but the oleous particles of the_e vegetables _ubtilized by f
8,14,14,A42035,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.","Boyle, Robert",1691,science,"ion , afford an Oyl , but never yield any burning Spirit . Whereas after Fermentation they yield an ",ardent,"Spirit , but no Oyl ; which is a manife_t proof , that the inflamable Oyl is converted into an infl",Y,LIT,,,14,,,"ion , afford an oyl , but never yield any burning spirit . whereas after fermentation they yield an",ardent,"spirit , but no oyl ; which is a manife_t proof , that the inflamable oyl is converted into an infl"
9,15,15,A42035,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.","Boyle, Robert",1691,science,"means yield Spirit of Ani_eeds anew . Finally , 'tis upon the account of their Oleous nature , that ",ardent,"Spirits are _o Inflamable ; and that they _o much weaken the Corroding Acidity of Aqua fortis , as ",Y,LIT,,,15,,,"means yield spirit of ani_eeds anew . finally , 'tis upon the account of their oleous nature , that",ardent,"spirits are _o inflamable ; and that they _o much weaken the corroding acidity of aqua fortis , as"
10,16,16,A42035,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.","Boyle, Robert",1691,science,they are thereby at la_t re_olved into mere Elementary Water : which is al_o true of all Fermented ,ardent,"Spirits , _ince they are but Oyls di__olved in Phlegm . Thus Spirit of Wine , drawn off from Salt o",Y,LIT,,,16,,,they are thereby at la_t re_olved into mere elementary water : which is al_o true of all fermented,ardent,"spirits , _ince they are but oyls di__olved in phlegm . thus spirit of wine , drawn off from salt o"
11,17,17,A42035,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.","Boyle, Robert",1691,science,"ts Coagulated in other Particles : whence 'tis , that they are re_olv'd by Di_tillation into a very ",Ardent,and powerfully Inebriating Spirit ; and are extream _it to promote or even begin Fermentations : an,Y,LIT,,,17,,,"ts coagulated in other particles : whence 'tis , that they are re_olv'd by di_tillation into a very",Ardent,and powerfully inebriating spirit ; and are extream _it to promote or even begin fermentations : an
12,19,19,A28991,"Medicina hydrostatica, or, Hydrostaticks applyed to the materia medica shewing how by the weight that divers bodies, us'd in physick, have in water : one may discover whether they be genuine or adulterate : to which is subjoyn'd a previous hydrostatical way of estimating ores / by the Honourable Robert Boyle ...","Boyle, Robert",1690,science,"hind . But , not here to mention the Scruples I propo_e in another Paper , about this Way of trying ",Ardent,"Spirits , I _hall now only take notice , that , by the newly recited Way , you lo_e or _poil all th",Y,LIT,,,19,,,"hind . but , not here to mention the scruples i propo_e in another paper , about this way of trying",Ardent,"spirits , i _hall now only take notice , that , by the newly recited way , you lo_e or _poil all th"
13,20,20,11766908,"The passion of Byblis made English, from Ovid, Meami [sic] Lib. 9 / by Mr. Dennis.","Dennis, John",1692,undetermined,"eiz'd with that Passion , place all their Felicity in the beloved Object , and even in Despair most ",ardent,"ly desire Possession . And such can no more wish to be in a Condition of Life , that might render th",Y,MET,want,,20,,,"eiz'd with that passion , place all their felicity in the beloved object , and even in despair most",ardently,"desire possession . and such can no more wish to be in a condition of life , that might render th"
14,22,22,A65701,"A discourse of the love of God shewing that it is well consistent with some love or desire of the creature, and answering all the arguments of Mr. Norris in his sermon on Matth. 22, 37, and of the letters philosohical and divine to the contrary / by Daniel Whitby ...","Whitby, Daniel",1697,prose,"? Thirdly , That we are to love God above all things Intensive , that is , our desires must be more ",ardent,"ly enclined towards his Favour , and the Enjoyment of him ; we must long , thirst , and pant more af",Y,MET,dedication,,22,,,"? thirdly , that we are to love god above all things intensive , that is , our desires must be more",ardently,"enclined towards his favour , and the enjoyment of him ; we must long , thirst , and pant more af"
15,24,24,A65701,"A discourse of the love of God shewing that it is well consistent with some love or desire of the creature, and answering all the arguments of Mr. Norris in his sermon on Matth. 22, 37, and of the letters philosohical and divine to the contrary / by Daniel Whitby ...","Whitby, Daniel",1697,prose,se the Phrase in this Sense ; as for the Latins nothing is more common with them than to express an ,ardent,"Love , by saying , In amore est totus , unic amat , toto pectore diligit , omni studio aliquem amp",Y,MET,emotion,,24,,,se the phrase in this sense ; as for the latins nothing is more common with them than to express an,ardent,"love , by saying , in amore est totus , unic amat , toto pectore diligit , omni studio aliquem amp"
16,26,26,A39663.a37,"The fountain of life opened, or, A display of Christ in his essential and mediatorial glory wherein the impetration of our redemption by Jesus Christ is orderly unfolded as it was begun, carryed on, and finished by his covenant-transaction, mysterious incarnation, solemn call and dedication ... / by John Flavell ...","Flavell, John",1673,sermons,"admire his Love , and walk answerably to it . First , Admire the Love of Christ . O how intense and ",ardent,"was the Love of Jesus ! who designed for you such an inheritance , with such a settlement of it upo",Y,MET,emotion,,26,,,"admire his love , and walk answerably to it . first , admire the love of christ . o how intense and",ardent,"was the love of jesus ! who designed for you such an inheritance , with such a settlement of it upo"
17,27,27,A70872,"Rockes improved comprising certaine poeticall meditations extracted from the contemplation of the nature and quality of rockes, a barren and harsh soyle, yet a fruitfull and delightfull subject of meditation / by VVilliam Prynne ...","Prynne, William",1641,poetry,"arkes , yet flames as _hould them thaw , Purge all their Dro__e away , and them inflame With a mo_t ",ardent,"Love , unto his Name . Lord when thy Rod _hall ever on us lite , Let it _uch Sparkes , and Flames i",Y,MET,emotion,,27,,,"arkes , yet flames as _hould them thaw , purge all their dro__e away , and them inflame with a mo_t",ardent,"love , unto his name . lord when thy rod _hall ever on us lite , let it _uch sparkes , and flames i"
18,28,28,N01610.a0,"Zelotes. A zeal for the house of God, blown up, in a sermon unto an assembly of Christians; in the south-part of Boston. On 8. d. XI. m. 1716,17. : A day of prayer kept by them, at their first entrance into a new edifice erected by them, for the publick worship of God our Saviour. / By Cotton Mather, D.D. and F.R.S. ; [Two lines from St. Ambrose]","Mather, Cotton",1717,sermons,"rtainly , to Secure all Spiritual Ble__ings in Heavenly places , is a thing well worthy of the mo_t ",ardent,"Zeal in the World ; Worthy of a Greater than any thing in this World , yea , than to Gain the whole",Y,MET,dedication,,28,,,"rtainly , to secure all spiritual ble__ings in heavenly places , is a thing well worthy of the mo_t",ardent,"zeal in the world ; worthy of a greater than any thing in this world , yea , than to gain the whole"
19,30,30,N02341,Ratio disciplinae fratrum Nov-Anglorum. A faithful account of the discipline professed and practised; in the churches of New-England. : With interspersed and instructive reflections on the discipline of the primitive churches. : [Seven lines from Ezekiel],"Mather, Cotton",1726,prose,"__ ___ Ñ In every part of the Earth , GOD has promi_ed that He will accept our Sacrifices . ¤ . 8 . ",Ardent,"PRAYERS are then poured out , pertinent unto the Solemn Action then before them ; wherein the Glori",Y,MET,dedication,,30,,,"__ ___ ñ in every part of the earth , god has promi_ed that he will accept our sacrifices . ¤ . 8 .",Ardent,"prayers are then poured out , pertinent unto the solemn action then before them ; wherein the glori"
20,31,31,N02341,Ratio disciplinae fratrum Nov-Anglorum. A faithful account of the discipline professed and practised; in the churches of New-England. : With interspersed and instructive reflections on the discipline of the primitive churches. : [Seven lines from Ezekiel],"Mather, Cotton",1726,prose,"Occa_ion . They then laying their Hands on his Head , He who was cho_en to that Service , makes an ",ardent,"Prayer unto the Glorious GOD ; particularly , Acknowledging the Glories of the enthroned JESUS , an",Y,MET,dedication,,31,,,"occa_ion . they then laying their hands on his head , he who was cho_en to that service , makes an",ardent,"prayer unto the glorious god ; particularly , acknowledging the glories of the enthroned jesus , an"
21,35,35,A28990,The martyrdom of Theodora and of Didymus by a person of honour.,"Boyle, Robert",1687,prose,"con_i_tent with Fidelity to Him that made him _o : He begg'd their Prayers for him_elf , and put up ",ardent,"ones of his own , for the Church , the State , his Per_ecutors , and particularly , for the excelle",Y,MET,dedication,,35,,,"con_i_tent with fidelity to him that made him _o : he begg'd their prayers for him_elf , and put up",ardent,"ones of his own , for the church , the state , his per_ecutors , and particularly , for the excelle"
22,36,36,A28990,The martyrdom of Theodora and of Didymus by a person of honour.,"Boyle, Robert",1687,prose,", by _ympathi_ing with him , and by endeavouring , as far as _he could , to relieve him by her mo_t ",ardent,"Prayers ; That his con_tancy under them might be Divinely Supported , and richly Crown'd . But whil",Y,MET,dedication,,36,,,", by _ympathi_ing with him , and by endeavouring , as far as _he could , to relieve him by her mo_t",ardent,"prayers ; that his con_tancy under them might be divinely supported , and richly crown'd . but whil"
23,38,38,A28965.a31,"Essays of the strange subtilty great efficacy determinate nature of effluviums. To which are annext New experiments to make fire and flame ponderable. : Together with A discovery of the perviousness of glass. : Also An essay, about the origine and virtue of gems. / By the Honourable Robert Boyle ... ; To which is added The prodromus to a dissertation concerning solids naturally contained within solids giving an account of the Earth, and its productions. By Nicholas Steno. ; Englished by H.O.","Boyle, Robert",1673,science,"erne_s ; and we al_o provided a conveniently _hap'd metalline Lamp , _uch as that the flame of this ",ardent,"Spirit might commodiou_ly burn in it , and yet not melt nor crack it ; which Lamp , though furni_he",Y,LIT,,,38,,,"erne_s ; and we al_o provided a conveniently _hap'd metalline lamp , _uch as that the flame of this",ardent,"spirit might commodiou_ly burn in it , and yet not melt nor crack it ; which lamp , though furni_he"
24,39,39,A28965.a31,"Essays of the strange subtilty great efficacy determinate nature of effluviums. To which are annext New experiments to make fire and flame ponderable. : Together with A discovery of the perviousness of glass. : Also An essay, about the origine and virtue of gems. / By the Honourable Robert Boyle ... ; To which is added The prodromus to a dissertation concerning solids naturally contained within solids giving an account of the Earth, and its productions. By Nicholas Steno. ; Englished by H.O.","Boyle, Robert",1673,science,n'd enough to make about half a grain more ; _o that of _o fine and pure a flame as of this totally ,ardent,"Spirit , enough to amount to five grains was arre_ted , and in good mea_ure fixt by its operation o",Y,LIT,,,39,,,n'd enough to make about half a grain more ; _o that of _o fine and pure a flame as of this totally,ardent,"spirit , enough to amount to five grains was arre_ted , and in good mea_ure fixt by its operation o"
25,41,41,A91224.a1,"Mount-Orgueil: or Divine and profitable meditations raised from the contemplation of these three leaves of natures volume, 1. Rockes, 2. Seas, 3. Gardens, digested into three distinct poems. To which is prefixed, a poeticall description, of Mount-Orgueil Castle in the Isle of Jersy. By VVilliam Prynne, late exile, and close prisoner in the sayd Castle. A poem of The soules complaint against the body; and Comfortable cordialls against the discomforts of imprisonment, &c. are hereto annexed.","Prynne, William",1641,poetry,"arkes , yea flames as _hould them thaw , Purge all their Dro__e away , and them inflame With a mo_t ",ardent,"Love , unto his Name . Lord when thy Rod _hall ever on us lite , Let it _uch Sparkes , and Flames i",Y,MET,emotion,,41,,,"arkes , yea flames as _hould them thaw , purge all their dro__e away , and them inflame with a mo_t",ardent,"love , unto his name . lord when thy rod _hall ever on us lite , let it _uch sparkes , and flames i"
26,43,43,A39866,"The history of oracles, and the cheats of the pagan priests in two parts / made English.","Behn, Aphra",1688,prose,hings in the World . But now this Poetick Genius has deserted Mankind : and tho' our passions be as ,ardent,"as those of our Ancestors , and we talk as much as they did , yet Love at present creeps in humble ",Y,MET,dedication,,43,,,hings in the world . but now this poetick genius has deserted mankind : and tho' our passions be as,ardent,"as those of our ancestors , and we talk as much as they did , yet love at present creeps in humble"
27,45,45,N00426,"A companion for communicants. Discourses upon the nature, the design, and the subject of the Lords Supper; with devout methods of preparing for, and approaching to that blessed ordinance. / By Cotton Mather, Pastor of a church at Boston. ; [Seven lines from Augustine]","Mather, Cotton",1690,prose,"follow you all your Days , and that you may dwell in the House of the Lord for ever . These are my ",ardent,wishes for you All ; and very particularly for those unto whose Desire and Expence it is to be ascr,Y,MET,want,,45,,,"follow you all your days , and that you may dwell in the house of the lord for ever . these are my",ardent,wishes for you all ; and very particularly for those unto whose desire and expence it is to be ascr
28,46,46,12341208,"An essay proving we shall know our friends in heaven writ by a disconsolate widower on the death of his wife, and dedicated to her dear memory ...","Dunton, John",1698,prose,"Men are made perfect , where we shall love again , and that with an Affection more pure , and more ",ardent,than before . Where both of us shall be more happy than ever we could be here : We shall have no Gr,Y,MET,dedication,,46,,,"men are made perfect , where we shall love again , and that with an affection more pure , and more",ardent,than before . where both of us shall be more happy than ever we could be here : we shall have no gr
29,47,47,12341208,"An essay proving we shall know our friends in heaven writ by a disconsolate widower on the death of his wife, and dedicated to her dear memory ...","Dunton, John",1698,prose,"iness from the sight of God , so they communicate the purest Pleasure to one another . An unfeigned ",ardent,"Affection unites that pure Society . Our Love is now kindled , either from a Relation in Nature , o",Y,MET,dedication,,47,,,"iness from the sight of god , so they communicate the purest pleasure to one another . an unfeigned",ardent,"affection unites that pure society . our love is now kindled , either from a relation in nature , o"
30,48,48,A36697.a0,"Sylv¾, or, The second part of Poetical miscellanies","Dryden, John",1685,poetry,"Euryalus stood Listning while he spoke , With Love of praise , and Noble envy strook ; Then to his ",ardent,"Friend , expos'd his mind : All this alone , and leaving me behind ! Am I unworthy , Nisus , to be ",Y,MET,dedication,,48,,,"euryalus stood listning while he spoke , with love of praise , and noble envy strook ; then to his",ardent,"friend , expos'd his mind : all this alone , and leaving me behind ! am i unworthy , nisus , to be"
31,50,50,A54095,"An account of W. Penn's travails in Holland and Germany, anno MDCLXXVII, for the service of the Gospel of Christ, by way of journal containing also divers letters and epistles writ to several great and eminent persons whilst there.","Penn, William",1694,v_journal+letters,"for us . Yea , 'tis this Love that quickeneth us to Je_us , that enflameeth our Souls with pure and ",ardent,"Love to him and Zeal for him ; Yea , 'tis this holy Love , that for_aketh Father and Mother , Si_te",Y,MET,emotion,,50,,,"for us . yea , 'tis this love that quickeneth us to je_us , that enflameeth our souls with pure and",ardent,"love to him and zeal for him ; yea , 'tis this holy love , that for_aketh father and mother , si_te"
32,51,51,N00673.a194,"The psalms hymns and spiritual songs, of the Old and New-Testament: faithfully translated into English metre. ; For the use, edification and comfort of the saints in publick and private: especially in New-England. ; [Eight lines of Scripture references and texts]","Mather, Cotton",1698,songs,"_trong as death , and fierce as hell , is jealous zeal . The coals thereof are coals of fire , mo_t ",ardent,"is its flame . verse 7 Much waters cannot quench this love , nor can floods drown the _ame : If all",Y,LIT,,,51,,,"_trong as death , and fierce as hell , is jealous zeal . the coals thereof are coals of fire , mo_t",ardent,"is its flame . verse 7 much waters cannot quench this love , nor can floods drown the _ame : if all"
33,52,52,K040557000.a10,Liberty asserted: A tragedy. As it is acted at the New Theatre in Little Lincoln's-Inn-Fields. Written by Mr. Dennis.,"Dennis, John",1704,drama_tragedy,"r Witne_s Heav'n and Earth , bear witne_s My cruel'_t Foes , with what a Tender care , With what an ",ardent,"Love , I've cheri_h'd thee , Oh Ulamer , my Life is not _o Dear to me , For I have Liv'd for thee a",Y,MET,emotion,,52,,,"r witne_s heav'n and earth , bear witne_s my cruel'_t foes , with what a tender care , with what an",ardent,"love , i've cheri_h'd thee , oh ulamer , my life is not _o dear to me , for i have liv'd for thee a"
34,56,56,A28968,"Experimenta & observationes physic¾ wherein are briefly treated of several subjects relating to natural philosophy in an experimental way : to which is added, a small collection of strange reports / by the Honourable Robert Boyle ...","Boyle, Robert",1691,science_physics,"ial , that the change of Colour may appear the better , we pour'd on it 2 or 3 Spoonfuls of totally ",ardent,"vinous Spirit , and giving the Gla_s a _hake to mingle them , we pre_ently had ( as _oon as the mix",Y,LIT,,,56,,,"ial , that the change of colour may appear the better , we pour'd on it 2 or 3 spoonfuls of totally",ardent,"vinous spirit , and giving the gla_s a _hake to mingle them , we pre_ently had ( as _oon as the mix"
35,57,57,N00425,"Addresses to old men, and young men, and little children. In three discourses ... To which may be added, a short scriptural catechism, accommodated unto their capacities. / By Cotton Mather.","Mather, Cotton",1690,prose,", Lord , I beseech thee , shew we thy glory ; and let not your Declining Sun set with you , till by ",ardent,"prayer , you have got the Day - star to arise in your Hearts . Secondly , Think much for the knowle",Y,MET,dedication,,57,,,", lord , i beseech thee , shew we thy glory ; and let not your declining sun set with you , till by",ardent,"prayer , you have got the day - star to arise in your hearts . secondly , think much for the knowle"
36,59,59,A39663.a31,"The fountain of life opened, or, A display of Christ in his essential and mediatorial glory wherein the impetration of our redemption by Jesus Christ is orderly unfolded as it was begun, carryed on, and finished by his covenant-transaction, mysterious incarnation, solemn call and dedication ... / by John Flavell ...","Flavell, John",1673,sermons,", with Christ in Glory ? Arg . 4 . Fourthly , And lastly , how do such delays consist with Christs ",ardent,desires to have his people with him where he is ? And with the vehement longings of their souls to ,Y,MET,want,,59,,,", with christ in glory ? arg . 4 . fourthly , and lastly , how do such delays consist with christs",ardent,desires to have his people with him where he is ? and with the vehement longings of their souls to
37,61,61,661702700,"A sermon preach'd at the cathedral church of Salisbury, on the xxviith day of June MDCCVI. Being The Day of Thanksgiving For the great Successes God has given to the Arms of Her Majesty and Her Allies in Flanders and Spain, &c. By the Right Reverend Father in God, Gilbert Lord Bishop of Salisbury.","Burnet, Gilbert",1706,sermons,"the Men of God's right hand , whom he has made strong for himself . 3dly . A Spirit of exalted and ",ardent,Courage seems spread through our Armies and Fleets : They run to Battels with so bold an Intrepidit,Y,MET,dedication,,61,,,"the men of god's right hand , whom he has made strong for himself . 3dly . a spirit of exalted and",ardent,courage seems spread through our armies and fleets : they run to battels with so bold an intrepidit
38,62,62,A91224.a3,"Mount-Orgueil: or Divine and profitable meditations raised from the contemplation of these three leaves of natures volume, 1. Rockes, 2. Seas, 3. Gardens, digested into three distinct poems. To which is prefixed, a poeticall description, of Mount-Orgueil Castle in the Isle of Jersy. By VVilliam Prynne, late exile, and close prisoner in the sayd Castle. A poem of The soules complaint against the body; and Comfortable cordialls against the discomforts of imprisonment, &c. are hereto annexed.","Prynne, William",1641,poetry,"eetne__e farre excels : Its rich perfumes , and odours _till entice His Saints to love it , in mo_t ",ardent,"wi_e . O let our hou_es , words , thoughts , acts , lives , _mell Of it's _weete odors , which all ",Y,MET,emotion,,62,,,"eetne__e farre excels : its rich perfumes , and odours _till entice his saints to love it , in mo_t",ardent,"wi_e . o let our hou_es , words , thoughts , acts , lives , _mell of it's _weete odors , which all"
39,63,63,A40683,"A sermon of assurance Foureteene yeares agoe preached in Cambridge, since in other places. Now by the importunity of friends exposed to publike view. By Thomas Fuller B.D. late lecturer in Lombard Street.","Fuller, Thomas",1647,sermons,ndirect meanes they will compasse their ends . Such will feed on raw meat ( as if the heat of their ,ardent,desires would rost it enough for themselves ) morsels which perchance sometimes would be pleasant f,Y,MET,emotion,,63,,,ndirect meanes they will compasse their ends . such will feed on raw meat ( as if the heat of their,ardent,desires would rost it enough for themselves ) morsels which perchance sometimes would be pleasant f
40,64,64,A37184,The rivals a comedy acted by His Highnes the Duke of York's servants.,"Davenant, Sir William",1668,drama_comedy,"hen we do , Cosin ? Theo . There cannot be . Phil . Our friendship is by long continuance Become so ",ardent,"and Invincible , And by our resolution so confirm'd I think it is beyond the power of time Or any A",Y,MET,dedication,,64,,,"hen we do , cosin ? theo . there cannot be . phil . our friendship is by long continuance become so",ardent,"and invincible , and by our resolution so confirm'd i think it is beyond the power of time or any a"
