,level_0,id,docid,title,author,date,genre,lhs,match,rhs,Level 1,Level 2,domain,comment,index,Unnamed: 0,Unnamed: 0.1,Context before,token,Context after
384,0,424,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,445 S.T. so that _ man going forty miles every day would not in an hundred years go so far as that ,blaz,"e extended . He might sooner go round the whole Earth seventy times over , then once go over the ext",Y,LIT,,,0,,,445 s.t. so that _ man going forty miles every day would not in an hundred years go so far as that,blaze,"extended . he might sooner go round the whole earth seventy times over , then once go over the ext"
385,1,303,K012677000.a5,Poems on several occasions: With a dissertation upon the Roman poets. By Mr. Addison.,"Addison, Joseph",1718,poetry,", _o fierce , the painted Flames ari_e , The pale Spectator views them with Surprize : Believes the ",blaz,"ing Wall indeed to burn , And fears the Frame _hould into A_hes turn . Hither in gha_tly Crouds the ",Y,LIT,,,1,,,", _o fierce , the painted flames ari_e , the pale spectator views them with surprize : believes the",blazing,"wall indeed to burn , and fears the frame _hould into a_hes turn . hither in gha_tly crouds the"
386,2,277,A61124,"Spencer redivivus containing the first book of the Fairy queen his essential design preserv'd, but his obsolete language and manner of verse totally laid aside deliver'd in heroick numbers / by a person of quality.","L'Estrange, Roger",1687,poetry,"her Court of Pride . Where all upon a solemn Champion gaz'd , Whose dismal Shield in Purple Letters ",blaz,"'d The great Sans - Ioy , who with resolved mind , And fore - thought Malice had Revenge design'd . ",Y,MET,light,,2,,,"her court of pride . where all upon a solemn champion gaz'd , whose dismal shield in purple letters",blaz'd,"the great sans - ioy , who with resolved mind , and fore - thought malice had revenge design'd ."
387,3,238,A39669.a14,"The method of grace, in bringing home the eternal redemption contrived by the Father, and accomplished by the Son through the effectual application of the spirit unto God's elect, being the second part of Gospel redemption : wherein the great mysterie of our union and communion with Christ is opened and applied, unbelievers invited, false pretenders convicted, every mans claim to Christ examined, and the misery of Christless persons discovered and bewailed / by John Flavell ...","Flavell, John",1681,sermons,"e good : else our consolation in it , will be but as the crackling of Thorns under a Pot ; a sudden ",blaz,"e , quickly extinct with the failing matter : Christ only gives the matter of solid , durable Consol",Y,LIT,,,3,,,"e good : else our consolation in it , will be but as the crackling of thorns under a pot ; a sudden",blaze,", quickly extinct with the failing matter : christ only gives the matter of solid , durable consol"
388,4,26,10152315,"A sermon preached in the chappel of St. James's, before His Highness the Prince of Orange, the 23d of December, 1688 by Gilbert Burnet.","Burnet, Gilbert",1689,sermons,"he Force that was brought against him , had vanished into nothing ; or as a Fire of Thorns , it had ",blaz,"ed and crackled a little , but was soon spent : And therefore as there was an universal rejoicing in",Y,LIT,,,4,,,"he force that was brought against him , had vanished into nothing ; or as a fire of thorns , it had",blazed,"and crackled a little , but was soon spent : and therefore as there was an universal rejoicing in"
389,5,16,A53058.a15,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.","Cavendish, Margaret",1664,letters,"d not things , Truly , Madam , these accidents seem to me to be like Van Helmont's Lights , Gases , ",Blaz,"es and Ideas ; and Dr More's Immaterial Substances or Daemons , onely in this Dr More hath the bette",Y,LIT,,,5,,,"d not things , truly , madam , these accidents seem to me to be like van helmont's lights , gases ,",Blazes,"and ideas ; and dr more's immaterial substances or daemons , onely in this dr more hath the bette"
390,6,284,A61124,"Spencer redivivus containing the first book of the Fairy queen his essential design preserv'd, but his obsolete language and manner of verse totally laid aside deliver'd in heroick numbers / by a person of quality.","L'Estrange, Roger",1687,poetry,"prinkle on the flaming Wood The hallowed Water of the purest flood . Which done , the bushy Tead is ",blaz,"ing seen , To Hymen had of old devoted been . And here the sacred Lamp with care they light , In sec",Y,LIT,,,6,,,"prinkle on the flaming wood the hallowed water of the purest flood . which done , the bushy tead is",blazing,"seen , to hymen had of old devoted been . and here the sacred lamp with care they light , in sec"
391,7,488,N00255.a0,"A sermon wherein is shewed that the church of God is sometimes a subject of great persecution; preached on a publick fast at Boston in New-England: occasioned by the tidings of a great persecution raised against the Protestants in France. / By Increase Mather, teacher to a church of Christ. ; [Eight lines of quotations]","Mather, Increase",1682,sermons,"omet went before Nero's persecution: . The Arian persecution likewise was preceded , & presaged by ",Blaz,ing Starrs . God hath given us yet more solemn warning by what is already come upon the professors o,Y,LIT,,,7,,,"omet went before nero's persecution: . the arian persecution likewise was preceded , & presaged by",Blazing,starrs . god hath given us yet more solemn warning by what is already come upon the professors o
392,8,133,A36896.0,"The art of living incognito being a thousand letters on as many uncommon subjects / written by John Dunton during his retreat from the world, and sent to that honourable lady to whom he address'd his conversation in Ireland ; with her answer to each letter.","Dunton, John",1700,letters,"their Understanding and Memory retuns to them ; as a Candle just before it goes out , gives a great ",Blaz,"e . This is what is call'd a Lightning before Death , And this was Iris Case ; for tho' she was now ",Y,LIT,,,8,,,"their understanding and memory retuns to them ; as a candle just before it goes out , gives a great",Blaze,". this is what is call'd a lightning before death , and this was iris case ; for tho' she was now"
393,9,514,K072424000,Notes upon the twelve books of Paradise lost: Collected from the Spectator. Written by Mr. Addison.,"Addison, Joseph",1719,prose,"led through agitation to a Flame ; ( Which oft , they _ay , _ome evil Spirit attends ) Hovering and ",blaz,"ing with delu_ive Light , Mi_leads th' amaz'd Night - wanderer from his way To Bogs and Mires , and ",Y,LIT,,,9,,,"led through agitation to a flame ; ( which oft , they _ay , _ome evil spirit attends ) hovering and",blazing,"with delu_ive light , mi_leads th' amaz'd night - wanderer from his way to bogs and mires , and"
394,10,150,7903762,The natural history of the principality of Wales in three parts ... together with the natural and artificial rarities and wonders in the several counties of that principality / by R.B.,"Crouch, Nathaniel",1695,biography/memoirs,"Bishops Castle over the same Common , fell off her Horse , being much terrified with the sight of a ",blaz,"ing Star , which she and six men with her saw , sometimes white and sometimes red , with a Tail like",Y,LIT,,,10,,,"bishops castle over the same common , fell off her horse , being much terrified with the sight of a",blazing,"star , which she and six men with her saw , sometimes white and sometimes red , with a tail like"
395,11,607,A54765.a0,"Maronides, or, Virgil travestie being a new paraphrase upon the fifth book of Virgils AEneids in burlesque verse / by John Phillips, Gent., the author of the Satyr against hypocrites.","Phillips, John",1672,poetry,"? If husbands chafe , ye have your Lurry . Behold four Altars newly rais'd Where sacrifices lately ",blaz,"'d . To Neptune for some curtesies , VVhere fire enough in Embers lies : Find you but hearts , the G",Y,LIT,,,11,,,"? if husbands chafe , ye have your lurry . behold four altars newly rais'd where sacrifices lately",blaz'd,". to neptune for some curtesies , vvhere fire enough in embers lies : find you but hearts , the g"
396,12,381,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"d , that he fell sick and died . Yet some write that he was poysoned by a Monk , the year after the ",Blaz,ing Star last mentioned was seen . The King of Scotland died . The Spaniards slew two hundred thousa,Y,LIT,,,12,,,"d , that he fell sick and died . yet some write that he was poysoned by a monk , the year after the",Blazing,star last mentioned was seen . the king of scotland died . the spaniards slew two hundred thousa
397,13,103,N00242.a0,"Heavens alarm to the world. Or A sermon wherein is shewed, that fearful sights and signs in heaven are the presages of great calamities at hand. By Increase Mather; teacher of a church in Boston in New-England. ; [Eleven lines of Scripture texts]","Mather, Increase",1681,sermons,"but so expect it , as to prepare for it . Certainly we have reason so to doe Ñ If there had been no ",Blaz,"ing Star , yet , upon other accounts , we have cause to expect and prepare for another day of Troubl",Y,LIT,,,13,,,"but so expect it , as to prepare for it . certainly we have reason so to doe ñ if there had been no",Blazing,"star , yet , upon other accounts , we have cause to expect and prepare for another day of troubl"
398,14,272,A89149.3,"Poems of Mr. John Milton, both English and Latin, compos'd at several times. Printed by his true copies. / The songs were set in musick by Mr. Henry Lawes Gentleman of the Kings Chappel, and one of His Maiesties private musick. Printed and publish'd according to order.","Milton, John",1645,poetry,,blaz,e of maje_ty Is that which we from hence de_cry Too divine to be mi_took : This this is _he To whom ,Y,MET,grandeur,EK: What label would be best for this meaning?,14,,, ,blaze,of maje_ty is that which we from hence de_cry too divine to be mi_took : this this is _he to whom
399,17,402,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,D. 1477 . A Caerulean dark coloured Comet was seen . The Emperour Charles V . used to say that that ,Blaz,"ing Star was portentous of his Grandfathers Death , who fell amongst others that were slain in that ",Y,LIT,,,17,,,d. 1477 . a caerulean dark coloured comet was seen . the emperour charles v . used to say that that,Blazing,"star was portentous of his grandfathers death , who fell amongst others that were slain in that"
400,18,222,48300500,"The refusal; or, the ladies philosophy: a comedy. Acted at the Theatre-Royal, by His Majesty's servants. Written by Mr. Cibber.","Cibber, Colley",1721,drama_comedy,"nding Flattery ? [ Aside . Gran . Canst thou reproach me then , if while thy Beauties , With such a ",Blaz,"e of Charms invade my Sense , My human Heart's not Proof against their Power ! Soph . Reproach thee ",Y,MET,grandeur,,18,,,"nding flattery ? [ aside . gran . canst thou reproach me then , if while thy beauties , with such a",Blaze,"of charms invade my sense , my human heart's not proof against their power ! soph . reproach thee"
401,19,426,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"tary Estate , forced to fly for his life , and his Countrey made a desolation . Quickly after these ",Blaz,"ing Stars , God sent the Plague amongst the Indians here in New-England which swept them away in suc",Y,LIT,,,19,,,"tary estate , forced to fly for his life , and his countrey made a desolation . quickly after these",Blazing,"stars , god sent the plague amongst the indians here in new-england which swept them away in suc"
402,20,226,322001000_12,"Amores Britannici. Epistles historical and gallant, in English heroic verse: from several of the most illustrious personages of their times. In imitation of the Heroidum epistol¾ of Ovid. With notes explaining the most material passages in every history. EPISTLE VII.","Oldmixon, John",1703,poetry,"s Tide , Reluctant to behold her on his side ; Pauls shook with Tempests , and her mounting Spire , ",Blaz,"'d out with ghastly Flames and aireal Fire ; Our stately Buildings from their Base were torn , Flung",Y,LIT,,,20,,,"s tide , reluctant to behold her on his side ; pauls shook with tempests , and her mounting spire ,",Blaz'd,"out with ghastly flames and aireal fire ; our stately buildings from their base were torn , flung"
403,22,260,99895792,"Decennium luctuosum An history of remarkable occurrences, in the long war, which New-England hath had with the Indian salvages, from the year, 1688. To the year 1698. Faithfully composed and improved. [One line of quotation in Latin]","Mather, Cotton",1699,prose,"ey be , but more Terrible Prognosticks of Tremendous and Amazing Desolations at hand , than so many ",Blaz,"ing Stars on Fire , in Heaven over us . It is to be hoped , the Ministers of the Gospel , will do wh",Y,LIT,,,22,,,"ey be , but more terrible prognosticks of tremendous and amazing desolations at hand , than so many",Blazing,"stars on fire , in heaven over us . it is to be hoped , the ministers of the gospel , will do wh"
404,23,40,A53058.a109,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.","Cavendish, Margaret",1664,letters,"re neither Light , nor Blas , nor Gas , no more then men are shining Suns , or flaming Torches , or ",blaz,"ing Meteors , or azure Skies . Wherefore leaving your Author to his contradicting humor , I rest , M",Y,LIT,,,23,,,"re neither light , nor blas , nor gas , no more then men are shining suns , or flaming torches , or",blazing,"meteors , or azure skies . wherefore leaving your author to his contradicting humor , i rest , m"
405,24,536,A53064.a180,"CCXI sociable letters written by the thrice noble, illustrious, and excellent princess, the Lady Marchioness of Newcastle.","Cavendish, Margaret",1664,letters,"t shews , she was the only Saint that was Regarded , for thus she was Admired and Followed ; but as ",Blaz,"ing Stars soon Vanish , so Beauty soon Fades , although her Beauty was likely to Last , being more i",Y,LIT,,,24,,,"t shews , she was the only saint that was regarded , for thus she was admired and followed ; but as",Blazing,"stars soon vanish , so beauty soon fades , although her beauty was likely to last , being more i"
406,25,234,A43552,A short view of the life and reign of King Charles (the second monarch of Great Britain) from his birth to his burial.,"Heylyn, Peter",1658,biography/memoirs,the Realm of Ireland . 1618 . On the eighteenth day of November Anno 1618 . There appeared a great ,blaz,"ing Star , the fore-runner of many woful events in the_e parts of Chri_tendom . But the fir_t _ad ef",Y,LIT,,,25,,,the realm of ireland . 1618 . on the eighteenth day of november anno 1618 . there appeared a great,blazing,"star , the fore-runner of many woful events in the_e parts of chri_tendom . but the fir_t _ad ef"
407,27,443,N00277,"Kometographia. Or A discourse concerning comets; wherein the nature of blazing stars is enquired into: with an historical account of all the comets which have appeared from the beginning of the world unto this present year, M.DC.LXXXIII. : Expressing the place in the heavens, where they were seen, their motion, forms, duration; and the remarkable events which have followed in the world, so far as thay have been by learned men observed. : As also two sermons occasioned by the late blazing stars. / By Mr. Increase Mather, teacher of a church at Boston in New-England. ; [Three lines of Scripture texts]","Mather, Increase",1683,science+sermons,"e Blaze passing to the North-ward of Cor Aquilae . Dec. 16 . its appearance was very terrible , the ",Blaz,"e ascended above 60 Degrees almost to its Zenith , growing continually broader from the head , and w",Y,LIT,,,27,,,"e blaze passing to the north-ward of cor aquilae . dec. 16 . its appearance was very terrible , the",Blaze,"ascended above 60 degrees almost to its zenith , growing continually broader from the head , and w"
408,28,606,A36627,"The hind and the panther a poem, in three parts.","Dryden, John",1687,poetry,"ects in reversion less . My Proselytes are struck with awfull dread , Your bloudy Comet - laws hang ",blaz,"ing o're their head . The respite they enjoy but onely lent , The best they have to hope , protracte",Y,LIT,,,28,,,"ects in reversion less . my proselytes are struck with awfull dread , your bloudy comet - laws hang",blazing,"o're their head . the respite they enjoy but onely lent , the best they have to hope , protracte"
409,29,140,820700200,"The character and conduct of Cicero, considered, from the history of his life, by the Reverend Dr. Middleton. With occasional essays, and observations upon the most memorable facts and persons during that period. By Colley Cibber, Esq; Servant to His Majesty.","Cibber, Colley",1747,biography/memoirs,a more laudable Observation . Yet from --- P. 162 to 167 . HIS Eloquence breaks into a yet stronger ,Blaz,e in his Defence of Rabirius . There never was so critical a Contention between the Senatorial and t,Y,MET,emotion,,29,,,a more laudable observation . yet from --- p. 162 to 167 . his eloquence breaks into a yet stronger,Blaze,in his defence of rabirius . there never was so critical a contention between the senatorial and t
410,30,175,K107398001.a1,"Original letters: familiar, moral and critical. By Mr. Dennis. In two volumes. .. [pt.1]","Dennis, John",1721,letters,"s Enthu_ia_m and his Sublimity , as the glittering of numberle_s Stars is _wallow'd and lo_t in the ",blaz,"e of Day , and that golden Deluge of Light which on every _ide overwhelms them . The following Hymn ",Y,MET,light,,30,,,"s enthu_ia_m and his sublimity , as the glittering of numberle_s stars is _wallow'd and lo_t in the",blaze,"of day , and that golden deluge of light which on every _ide overwhelms them . the following hymn"
411,31,217,K060328000,"The grounds of criticism in poetry, contain'd in some new discoveries never made before, requisite for the writing and judging of poems surely. Being a preliminary to a larger work design'd to be publish'd in folio, and entituled, A criticism upon our most celebrated English poets deceas'd. By Mr. Dennis:","Dennis, John",1704,prose,"eader ; that whenever it breaks out where it ought to do , like the Artillery of Jove , it Thunders ",blaz,"es and _trikes at once , and _hews all the united force of a Writer . Now I leave the Reader to Judg",Y,LIT,,,31,,,"eader ; that whenever it breaks out where it ought to do , like the artillery of jove , it thunders",blazes,"and _trikes at once , and _hews all the united force of a writer . now i leave the reader to judg"
