,level_0,id,docid,title,author,date,genre,lhs,match,rhs,Level 1,Level 2,domain,comment,index,Unnamed: 0,Unnamed: 0.1,Context before,token,Context after
625,0,6394,12259728,"The history of the kingdom of Ireland being an account of all the battles, sieges and other considerable transactions both civil and military, during the late wars there, till the entire reduction of that countrey by the victorious arms of our most gracious soveraign, King William : to which is prefixed, a brief relation of the ancient inhabitants, and first conquest of that nation by King Henry II, and of all the remarkable passages in the reign of every king to this time, particularly the horrid rebellion and massacre in 1641, with the popish and arbitrary designs that were carried on there, in the last reigns / by R.B.","Crouch, Nathaniel",1693,prose,"anded near Carrickfergus , incamping in the Fields that Night ; the Garrison Apprehending a Siege , ",burn,"t their Suburbs , and prepared for their Defence : Whereupon Duke Schomberg General of all their Maj",Y,LIT,,,0,,,"anded near carrickfergus , incamping in the fields that night ; the garrison apprehending a siege ,",burnt,"their suburbs , and prepared for their defence : whereupon duke schomberg general of all their maj"
626,1,641,A26982,"Richard Baxter's penitent confession and his necessary vindication in answer to a book called The second part of the mischiefs of separation, written by an unnamed author with a preface to Mr. Cantianus D. Minimis, in answer to his letter which extorted this publication.","Baxter, Richard",1691,prose,"her my Books will do more good or hurt , and your Author thinks it would be good that They were all ",burn,"t , and the Papi_ts are of the _ame mind ; _o I am fully per_waded is the Devil : And till he can ge",Y,LIT,,,1,,,"her my books will do more good or hurt , and your author thinks it would be good that they were all",burnt,", and the papi_ts are of the _ame mind ; _o i am fully per_waded is the devil : and till he can ge"
627,2,4903,A50931,Paradise regain'd a poem in IV books : to which is added Samson Agonistes / the author John Milton.,"Milton, John",1671,poetry_epic+drama_tragedy,"in field great Battels win , Great Cities by assault : what do these Worthies , But rob and spoil , ",burn,", flaughter , and enslave Peaceable Nations , neighbouring , or remote , Made Captive , yet deservi",Y,LIT,,,2,,,"in field great battels win , great cities by assault : what do these worthies , but rob and spoil ,",burn,", flaughter , and enslave peaceable nations , neighbouring , or remote , made captive , yet deservi"
628,3,592,A59788,"An answer to a late scandalous pamphlet entituled A friendly debate between Satan and Sherlock, written by Thomas Danson by William Sherlock ...","Sherlock, William",1677,prose,"edium to prove that they are unfound and false , if this be not the Doctrine of the Gospel , I will ",burn,"my Bible , and never Preach more ; and if it be , I suppose , no body will thank M. Danson for this",Y,LIT,,,3,,,"edium to prove that they are unfound and false , if this be not the doctrine of the gospel , i will",burn,"my bible , and never preach more ; and if it be , i suppose , no body will thank m. danson for this"
629,4,6886,A40188,"For your whoredoms in the City of London, is the hand of the Lord stretched forth against thee, and the sword of the Lord God drawn to hew thee down ...","Fox, George",1660,prose,"Oh you _tink before the Lord , Oh you are noy_ome ; the noy_ome _mell of your fle_h _tinks , which ",burn,"s . Ye corrupted ones , plagues , wo and mi_ery is to come upon you all , in whom that nature lives ",Y,LIT,,,4,,,"oh you _tink before the lord , oh you are noy_ome ; the noy_ome _mell of your fle_h _tinks , which",burns,". ye corrupted ones , plagues , wo and mi_ery is to come upon you all , in whom that nature lives"
630,5,5724,12988428,"The grove, or, Love's paradice an opera, represented at the Theatre Royal in Drury-lane / by Mr. Oldmixon.","Oldmixon, John",1700,drama_opera,have it in his pow'r To punish such as question his commands Enter Eud . There are whose ears wou'd ,burn,"at such reports , This Souldier here shall teach 'em to obey , Correct their doubts , and lead 'em ",Y,MET,sensation,,5,,,have it in his pow'r to punish such as question his commands enter eud . there are whose ears wou'd,burn,"at such reports , this souldier here shall teach 'em to obey , correct their doubts , and lead 'em"
631,6,1862,A53061,"Poems, and fancies written by the Right Honourable, the Lady Margaret Newcastle.","Cavendish, Margaret",1653,miscellany,"s . Mr. Speaker , there are worse Creatures in the Kingdom , and more dangerous , which ought to be ",burn,"t ; as Lovely @ , exact Proportion , clear Complexion : when these spirits are raised in the circle ",Y,LIT,,,6,,,"s . mr. speaker , there are worse creatures in the kingdom , and more dangerous , which ought to be",burnt,"; as lovely @ , exact proportion , clear complexion : when these spirits are raised in the circle"
632,7,5665,15598995,"Instruction for the ignorant being a salve to cure that great want of knowledg which so much reigns both in young and old / prepared and presented to them in a plain and easie dialogue, fitted to the capacity of the weakest, by John Bunyan.","Bunyan, John",1675,catechism,"alled Briers and Thorns , and they that bring them forth are nigh unto Cursing , whose end is to be ",burn,"ed , 1 Sam. 15.23 . Heb. 10.26 . chap 6.7 , 8 . Q. Are there any other things that can make little s",Y,LIT,,,7,,,"alled briers and thorns , and they that bring them forth are nigh unto cursing , whose end is to be",burned,", 1 sam. 15.23 . heb. 10.26 . chap 6.7 , 8 . q. are there any other things that can make little s"
633,8,1415,A63711.a204,"A collection of offices or forms of prayer in cases ordinary and extraordinary. Taken out of the Scriptures and the ancient liturgies of several churches, especially the Greek. Together with the Psalter or Psalms of David, according to the Kings translations; with arguments to the same.","Taylor, Jeremy",1657,hymns/psalms,"rth thy praise . 16 For thou desirest not sacrifice , else would I give it : thou delightest not in ",burn,"t-offering . 17 The sacrifices of God are a broken spirit : a broken and a contrite heart , O God , ",Y,LIT,,,8,,,"rth thy praise . 16 for thou desirest not sacrifice , else would i give it : thou delightest not in",burnt-offering,". 17 the sacrifices of god are a broken spirit : a broken and a contrite heart , o god ,"
634,9,761,A27805.a281,"The psalter of David with titles and collects according to the matter of each Psalme : whereunto is added Devotions for the help and assistance of all Christian people, in all occasions and necessities.","Taylor, Jeremy",1647,hymns/psalms,"ward shall be given or done unto thee , thou false tongue : even mighty and sharp arrows , with hot ",burn,"ing coals . 4 Wo is me , that I am constrained to dwell with Mesech : and to have my habitation amon",Y,LIT,,,9,,,"ward shall be given or done unto thee , thou false tongue : even mighty and sharp arrows , with hot",burning,"coals . 4 wo is me , that i am constrained to dwell with mesech : and to have my habitation amon"
