,level_0,id,docid,title,author,date,genre,lhs,match,rhs,Level 1,Level 2,domain,comment,index,Unnamed: 0,Unnamed: 0.1,Context before,token,Context after
858,0,6587,N00569.a0,"Early religion. Urged in a sermon. the duties, wherein, and the reasons wherefore, young people should become religious. Whereto are added, the extracts of several papers, written by several persons, who are dying in their youth, left behind them those admonitions for the young survivers; with brief memoirs relating to the exemplary lives of some such, that have gone from hence to their everlasting rest. / By Cotton Mather. ; [Two lines of Scripture text]","Mather, Cotton",1694,sermons,"nd Coyling about you for evermore . O That by the Fear of this thing , I might Pull you out of that ",Fire,", that never shall be Quenched ! Finally , Quest . IX . Do ! Dy Strangers to Religion ; and how wil",Y,MET,UNK,extended,0,,,"nd coyling about you for evermore . o that by the fear of this thing , i might pull you out of that",Fire,", that never shall be quenched ! finally , quest . ix . do ! dy strangers to religion ; and how wil"
859,1,6569,48300500,"The refusal; or, the ladies philosophy: a comedy. Acted at the Theatre-Royal, by His Majesty's servants. Written by Mr. Cibber.","Cibber, Colley",1721,drama_comedy,"ime , Leaps to the Face , and marks the Cheek with Shame : But the chaste Heart , sublim'd by purer ",Fire,"s , Knowing no conscious Fear , Reserve , or Guile , Gives , with unbounded Frankness , all its Stor",Y,MET,emotion,consult Lettie: is this a metaphor?,1,,,"ime , leaps to the face , and marks the cheek with shame : but the chaste heart , sublim'd by purer",Fires,", knowing no conscious fear , reserve , or guile , gives , with unbounded frankness , all its stor"
860,2,4738,A51319.a1,"The two last dialogues treating of the kingdome of God within us and without us, and of his special providence through Christ over his church from the beginning to the end of all things : whereunto is annexed a brief discourse of the true grounds of the certainty of faith in points of religion, together with some few plain songs of divine hymns on the chief holy-days of the year.","More, Henry",1668,dialogue/conference,"brightness about it , and out of the midst thereof as the colour of Amber , out of the midst of the ",fire,. This colour of Amber out of the midst of the fire I cannot but parallel to that description of th,Y,LIT,,,2,,,"brightness about it , and out of the midst thereof as the colour of amber , out of the midst of the",fire,. this colour of amber out of the midst of the fire i cannot but parallel to that description of th
861,4,5478,N00530,"The wonders of the invisible world. Observations as well historical as theological, upon the nature, the number, and the operations of the devils. : Accompany'd with, I. Some accounts of the grievous molestations, by daemons and witchcrafts, which have lately annoy'd the countrey; and the trials of some eminent malefactors executed upon occasion thereof: with several remarkable curiosities therein occurring. II. Some councils, directing a due improvement of the terrible things, lately done, by the unusual & amazing range of evil spirits, in our neighbourhood: & the methods to prevent the wrongs which those evil angels may intend against all sorts of people among us; especially in accusations of the innocent. III. Some conjectures upon the great events, likely to befall, the world in general, and New-England in particular; as also upon the advances of the time, when we shall see better dayes. IV. A short narrative of a late outrage committed by a knot of witches in Swedeland, very much resembling, and so far explaining, that under which our parts of America have laboured! V. The Devil discovered: in a brief discourse upon those temptations, which are the more ordinary devices of the Wicked One. / By Cotton Mather.","Mather, Cotton",1692,miscellany,"in those Fires , may aforehand augment his Desert of it , by having an hand in using some of those ",Fire,"s , for our Detriment . Learned Men have made no scruple to charge the Devil with it ; Deo permitten",Y,LIT,,,4,,,"in those fires , may aforehand augment his desert of it , by having an hand in using some of those",Fires,", for our detriment . learned men have made no scruple to charge the devil with it ; deo permitten"
862,9,13053,A54829.a1,A collection of sermons upon several occasions by Thomas Pierce ...,"Pierce, Thomas",1671,sermons,"ean as are reckoned such , by their putting on Godliness for a Disguise . ) There are no such false ",fire,"s for the leading of Passengers out of their way , as the reputed People of God when they once turn ",Y,MET,UNK,Consult with Lettie,9,,,"ean as are reckoned such , by their putting on godliness for a disguise . ) there are no such false",fires,"for the leading of passengers out of their way , as the reputed people of god when they once turn"
863,10,2461,A36598,"Annus mirabilis, The year of wonders, 1666 an historical poem containing the progress and various successes of our naval war with Holland, under the conduct of His Highness Prince Rupert, and His Grace the Duke of Albemarl : and describing the fire of London / by John Dryden, Esq.","Dryden, John",1667,undetermined,"place , As murder'd men walk where they did expire . 257 . Some stir up coals and watch the Vestal ",fire,", Others in vain from sight of ruine run : And , while through burning Lab'rinths they retire , Wit",Y,LIT,,,10,,,"place , as murder'd men walk where they did expire . 257 . some stir up coals and watch the vestal",fire,", others in vain from sight of ruine run : and , while through burning lab'rinths they retire , wit"
864,11,11349,A28966,The excellency of theology compar'd with natural philosophy (as both are objects of men's study) / discours'd of in a letter to a friend by T.H.R.B.E. ... ; to which are annex'd some occasional thouhts about the excellency and grounds of the mechanical hypothesis / by the same author.,"Boyle, Robert",1674,science+letters,"by the skill of illiterate Tradesmen , as to maintain their union in the vitrifying violence of the ",Fire,". Nor do we find , that common Gla_s will be wrought upon by Aqua fortis , or Aqua Regis , though t",Y,LIT,,Consult with Lettie,11,,,"by the skill of illiterate tradesmen , as to maintain their union in the vitrifying violence of the",Fire,". nor do we find , that common gla_s will be wrought upon by aqua fortis , or aqua regis , though t"
865,15,4502,8940419,"The history of the house of Orange, or, A brief relation of the glorious and magnanimous atchievements of His Majesties renowned predecessors and likewise of his own heroick actions till the late wonderful revolution : together with the history of William and Mary King and Queen of England, Scotland, France, and Ireland &c., by R.B.","Crouch, Nathaniel",1693,prose+biography/memoirs,"l Schomberg came to the Hague , and on Friday , Oct . 16 . The Fleet cons___ing of 635 Men of War , ",Fire,"ships , Tenders , &c. For the carriage of Horse , Foot , Arms and Ammunition , sailed about four Aft",Y,LIT,,,15,,,"l schomberg came to the hague , and on friday , oct . 16 . the fleet cons___ing of 635 men of war ,",Fire,"ships , tenders , &c. for the carriage of horse , foot , arms and ammunition , sailed about four aft"
866,17,2049,A39866,"The history of oracles, and the cheats of the pagan priests in two parts / made English.","Behn, Aphra",1688,prose,"r Life , then , I say , there was found in your Lordship , that undaunted Bravery , that Spirit and ",fire,"of Loyalty , that true concern for the Royal Cause , that you were the first destin'd Victim for th",Y,MET,DED,,17,,,"r life , then , i say , there was found in your lordship , that undaunted bravery , that spirit and",fire,"of loyalty , that true concern for the royal cause , that you were the first destin'd victim for th"
867,18,8932,A19883,"The vvitts A comedie, presented at the private house in Blacke Fryers, by his Majesties servants. The author VVilliam D'avenant, servant to Her Majestie.","Davenant, Sir William",1634,drama_comedy,it heavily ! Ñ Eld . Pall . I'le not endur't ! fire ! murder ! fire ! trea_on ! Murder ! trea_on ! ,fire,!Ñ Amp . Alas you are not heard ! The hou_e containes none but our _elves ! Ex. carying out the Che,Y,LIT,,,18,,,it heavily ! ñ eld . pall . i'le not endur't ! fire ! murder ! fire ! trea_on ! murder ! trea_on !,fire,!ñ amp . alas you are not heard ! the hou_e containes none but our _elves ! ex. carying out the che
