,level_0,id,docid,title,author,date,genre,lhs,match,rhs,Level 1,Level 2,domain,comment,index,Unnamed: 0,Unnamed: 0.1,Context before,token,Context after
171,2,2,A35670,"Iphigenia a tragedy, acted at the theatre in Little-Lincolns-Inn-Fields / by Mr. Dennis.","Dennis, John",1700,drama_tragedy,eable to the publick . And I thought I could not do that more effectually than by endeavouring to en,flam,e the Minds of an Audience with the Love of ſo noble a Virtue as Friendſhip . For all Communities ow,Y,MET,emotion,,2,2.0,9895.0,eable to the publick . and i thought i could not do that more effectually than by endeavouring to en,flame,the minds of an audience with the love of ſo noble a virtue as friendſhip . for all communities ow
172,3,3,K123618000,"A collection of original papers and material transactions, concerning the late great affair of the union between England and Scotland: Also an exact journal of the proceedings of the treaty as well at London as in Edinburgh. Wherein the privilege [sic] of the Presbyterian kirk, and the case of toleration of episcopal dissenters there, are very clearly stated. In five parts. Faithfully collected from the records and registers; by a person concern'd in the said treaty, and present in both kingdoms at the time of its transacting.","Defoe, Daniel",1712,miscellany,"ry viſibly demonſtrated , yet were drawn in by their Fears , and , I doubt , thoſe Fears too much in",flam,"'d by the Policy and wicked Artifice of Whiſperers and diſguiſed Enemies , to Oppoſe the Union , as ",Y,MET,AMB,emotion or something like 'instigate' or 'inspire'?,3,3.0,10094.0,"ry viſibly demonſtrated , yet were drawn in by their fears , and , i doubt , thoſe fears too much in",flam'd,"by the policy and wicked artifice of whiſperers and diſguiſed enemies , to oppoſe the union , as"
173,4,4,12257952,"Ars chirurgica a compendium of the theory and practice of chirurgery in seven books ... shewing the names, causes, signs, differences, prognosticks, and various intentions of curing all kinds of chirurgick diseases ... : to which is added Pharmacopoeia chirurgica, or, The medical store, Latin and English ... / by William Salmon ...","Salmon, William",1697,science_medicine,"I . If it be wholly closed , it is in many caused through hard Labour ; in which it may be hurt , in",flam,"ed , and made raw , and by that means grow together : Sometimes it is also caused by some fleshy Exc",Y,MET,sensation,inflamed',4,4.0,7831.0,"i . if it be wholly closed , it is in many caused through hard labour ; in which it may be hurt , in",flamed,", and made raw , and by that means grow together : sometimes it is also caused by some fleshy exc"
174,5,5,568800800,"The libertine's choice: or, the mistaken happiness of the fool in fashion.","Ward, Edward 'Ned'",1704,poetry,"st , and the best , So fair Almeria shin'd above the rest . From her bright Eyes to feel a hopeless ",flam,"e , Was of our Youth the most ambitious aim ; Her Chains were marks of Honour to the brave , She mad",Y,MET,emotion,,5,5.0,1265.0,"st , and the best , so fair almeria shin'd above the rest . from her bright eyes to feel a hopeless",flame,", was of our youth the most ambitious aim ; her chains were marks of honour to the brave , she mad"
175,6,6,A47607.a0,"Sion in distress, or, The groans of the Protestant Chruch [sic]","Keach, Benjamin",1681,poetry," Thy rage , that made poor Children to ſet fire To fatal piles in which their Parents dear In cruel ",flam,"es conſum'd to aſhes were . Thy wicked Agents have ſome Millions ſlain , Who did endure the moſt inh",Y,LIT,,,6,6.0,379.0,"thy rage , that made poor children to ſet fire to fatal piles in which their parents dear in cruel",flames,"conſum'd to aſhes were . thy wicked agents have ſome millions ſlain , who did endure the moſt inh"
176,7,7,A60662,"Medicina practica, or, Practical physick shewing the method of curing the most usual diseases happening to humane bodies ... : to which is added, the philosophick works of Hermes Trismegistus, Kalid Persicus, Geber Arabs, Artesius Longævus, Nicholas Flammel, Roger Bachon and George Ripley : all translated out of the best Latin editions into English ... : together with a singular comment upon the first book of Hermes, the most ancient of philosophers : the whole compleated in three books / by William Salmon ...","Salmon, William",1692,science_medicine,"d flame like Sulphur ; but what shall be secondly sublimed after that sublimate , will neither be in",flam,"ed , nor shew any properties of Sulphur , but of Argent Vive mortified , in the reiteration of subli",Y,LIT,,,7,7.0,10764.0,"d flame like sulphur ; but what shall be secondly sublimed after that sublimate , will neither be in",flamed,", nor shew any properties of sulphur , but of argent vive mortified , in the reiteration of subli"
177,8,8,12276879,"Tracts written by the Honourable Robert Boyle containing New experiments, touching the relation betwixt flame and air, and about explosions, an hydrostatical discourse occasion'd by some objections of Dr. Henry More against some explications of new experiments made by the author of these tracts : to which is annex't, An hydrostatical letter, dilucidating an experiment about a way of weighing water in water, new experiments, of the positive or relative levity of bodies under water, of the air's spring on bodies under water, about the differing pressure of heavy solids and fluids.","Boyle, Robert",1672,science_chemistry+letters,"ame expired , and that part of the Sulphur , that happen'd to stick to the side of the iron , was in",flam,"'d by it : And I , that chanc'd to be then in an inconvenient posture for seeing the Camphire , coul",Y,LIT,,,8,8.0,524.0,"ame expired , and that part of the sulphur , that happen'd to stick to the side of the iron , was in",flam'd,"by it : and i , that chanc'd to be then in an inconvenient posture for seeing the camphire , coul"
178,9,9,A35270,"Caligula a tragedy, as it is acted at the Theatre Royal, by His Majesty's servants / written by Mr. Crowne.","Crowne, John",1698,drama_tragedy,"oud ; pride is of mighty uſe . The affectation of a pompous name , Has oft ſet Wits and Heroes in a ",flam,"e ; Volumes , and Buildings , and Dominions wide , Are oft the noble Monuments of pride . Cal . Then",Y,MET,AMB,extended,9,9.0,9983.0,"oud ; pride is of mighty uſe . the affectation of a pompous name , has oft ſet wits and heroes in a",flame,"; volumes , and buildings , and dominions wide , are oft the noble monuments of pride . cal . then"
179,10,10,K060142004.a1,"A tour thro' the whole island of Great Britain: Divided into circuits or journeys. Giving a particular and entertaining account of whatever is curious, and worth observation; .. By a gentleman. .. [pt.4]","Defoe, Daniel",1724,letters," at the Eaſt-end of the Meadow , belonging to one Mr. Bryſon , taking Fire , the Wind increaſed the ",Flam,"e , inſomuch that the Water-works proved ſo many uſeleſs Machines ; ſo that the Brewery and Houſe we",Y,LIT,,,10,10.0,9331.0,"at the eaſt-end of the meadow , belonging to one mr. bryſon , taking fire , the wind increaſed the",Flame,", inſomuch that the water-works proved ſo many uſeleſs machines ; ſo that the brewery and houſe we"
180,11,11,A61552,"The doctrines and practices of the Church of Rome truly represented in answer to a book intituled, A papist misrepresented, and represented, &c.","Stillingfleet, Edward",1686,prose,"vered from the Chains of our Sins , being preserved from spiritual Maladies and Hell Fire ; being in",flam,"ed with Charity , and made fit for Heaven . In good Conscience , saith he , is not this joining the ",Y,MET,emotion/desire/drive,Biblical context but 'inflamed with charity' sounds metaphorical to me,11,11.0,9566.0,"vered from the chains of our sins , being preserved from spiritual maladies and hell fire ; being in",flamed,"with charity , and made fit for heaven . in good conscience , saith he , is not this joining the"
181,12,12,A37483,"Tropologia, or, A key to open Scripture metaphors the first book containing sacred philology, or the tropes in Scripture, reduc'd under their proper heads, with a brief explication of each / partly translated and partly compil'd from the works of the learned by T.D. The second and third books containing a practical improvement (parallel-wise) of several of the most frequent and useful metaphors, allegories, and express similitudes of the Old and New Testament / by B.K.","Keach, Benjamin",1681,prose,", 5 . Some think there may be a Synecdoche , because Wars for the most part are managed by Fire and ",Flam,"e . It is also attributed to other things , by means of which terror , hurt , and death are brought ",Y,LIT,,,12,12.0,49.0,", 5 . some think there may be a synecdoche , because wars for the most part are managed by fire and",Flame,". it is also attributed to other things , by means of which terror , hurt , and death are brought"
182,13,13,A60662,"Medicina practica, or, Practical physick shewing the method of curing the most usual diseases happening to humane bodies ... : to which is added, the philosophick works of Hermes Trismegistus, Kalid Persicus, Geber Arabs, Artesius Longævus, Nicholas Flammel, Roger Bachon and George Ripley : all translated out of the best Latin editions into English ... : together with a singular comment upon the first book of Hermes, the most ancient of philosophers : the whole compleated in three books / by William Salmon ...","Salmon, William",1692,science_medicine,"out fifty or sixty drops of it inwardly , in a Glass of Wine , at night going to bed . XV . If an In",flam,"mation be present , it may be abated by putting into the Ear Vinegar , mixt or ground with Oil : And",Y,MET,sensation,Is inflammation MET and 'sensation' or something? Like with burning rash?,13,13.0,10752.0,"out fifty or sixty drops of it inwardly , in a glass of wine , at night going to bed . xv . if an",inflammation,"be present , it may be abated by putting into the ear vinegar , mixt or ground with oil : and"
183,14,14,11704469,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.","Boyle, Robert",1682,science+letters," , especially an Essential one , ( such of that of Anniseeds , ) whose purity makes it it totally in",flam,"able . And the quantity of the whole Liquor , consisting of Acid and Phlegmatick parts , was far fro",Y,LIT,,,14,14.0,5754.0,", especially an essential one , ( such of that of anniseeds , ) whose purity makes it it totally",inflamable,". and the quantity of the whole liquor , consisting of acid and phlegmatick parts , was far fro"
184,15,15,K012677000.a1,Poems on several occasions: With a dissertation upon the Roman poets. By Mr. Addison.,"Addison, Joseph",1718,poetry," to preſide , And well explore the bubbling Veins : That with the Fever's ſwelling Heat Glow more in",flam,"'d , more fiercely beat . VII . In vain you try each Chymic Power , Trace to its Spring the Sanguine",Y,MET,sensation,,15,15.0,6774.0,"to preſide , and well explore the bubbling veins : that with the fever's ſwelling heat glow more in",flam'd,", more fiercely beat . vii . in vain you try each chymic power , trace to its spring the sanguine"
185,17,17,A40672,The history of the worthies of England who for parts and learning have been eminent in the several counties : together with an historical narrative of the native commodities and rarities in each county / endeavoured by Thomas Fuller.,"Fuller, Thomas",1661,biography/memoirs,"genious pen is thus , not ill expressed . What desperate Challenger is He ? Before he peris_ in the ",flam,"e , What ere his pain or patience be , Who dares assume a MARTYRS name ? For all the way he goes he'",Y,LIT,,,17,17.0,7679.0,"genious pen is thus , not ill expressed . what desperate challenger is he ? before he peris_ in the",flame,", what ere his pain or patience be , who dares assume a martyrs name ? for all the way he goes he'"
186,19,19,12243830,The prologue to Calistho with the chorus between the acts.,"Crowne, John",1675,drama_prologue/epilogue,"rove . Cho . This is some inchanted Grove . Cupids Dance , and go off . Stre . Oh ! my Soul is in a ",flam,"e . Daph . I must fly or lose my Fame , Cor . O what raging Passions fill me ! Love me Sylvia now , ",Y,MET,emotion,,19,19.0,10924.0,"rove . cho . this is some inchanted grove . cupids dance , and go off . stre . oh ! my soul is in a",flame,". daph . i must fly or lose my fame , cor . o what raging passions fill me ! love me sylvia now ,"
187,20,20,A28965,"Essays of the strange subtilty great efficacy determinate nature of effluviums. To which are annext New experiments to make fire and flame ponderable. : Together with A discovery of the perviousness of glass. : Also An essay, about the origine and virtue of gems. / By the Honourable Robert Boyle ... ; To which is added The prodromus to a dissertation concerning solids naturally contained within solids giving an account of the Earth, and its productions. By Nicholas Steno. ; Englished by H.O.","Boyle, Robert",1673,science_chemistry," an Eye , to melt them ; which to do is wont even in our Reverberatory Furnaces to coſt that active ",flam,"es a pretty deal of time . And this calls into my memory , that upon a time , hearing not far off fr",Y,LIT,,,20,20.0,9239.0,"an eye , to melt them ; which to do is wont even in our reverberatory furnaces to coſt that active",flames,"a pretty deal of time . and this calls into my memory , that upon a time , hearing not far off fr"
