,Initial index,index in word-specific sheet,mass_rand,Text ID,Journal ,Context before,lemma,token,Context after,Sense,Object,unit,Singular/Plural,Construction ( need to think how I'll phrase this),Notable phrases,Preceded,Followed,Topic,commentary,Tagged context before,Tagged query item,Tagged context after,author,author-abbr,Author Frequency,title,tokens,type,year,URL,Matchbegin corpus position,Matchend corpus position
0,4279,1510,0.000854797,108557,transactions ,"a yellow colour . It was filtered and evaporated , when it left a quantity of emulsine . The yellow",mass,mass,"on the filter was treated with boiling alcohol , which became yellow , while the residue lost almost the whole",N,C,None,S,DP NP,,JJ,IN,CHEMISTRY,,"a_DT yellow_JJ colour_NN ._SENT It_PP was_VBD filtered_VVN and_CC evaporated_VVN ,_, when_WRB it_PP left_VVD a_DT quantity_NN of_IN emulsine_NN ._SENT The_DT yellow_JJ",mass_NN,"on_IN the_DT filter_NN was_VBD treated_VVN with_IN boiling_VVG alcohol_NN ,_, which_WDT became_VVD yellow_JJ ,_, while_IN the_DT residue_NN lost_VVD almost_RB the_DT whole_NN",Edward Schunck,E.Schunck,117,On Rubian and Its Products of Decomposition,21220,fla,1853,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=4278,22817941,22817941.0
1,5702,2093,0.000911186,108701,transactions ,. In my paper on the Physical Properties of Ice this promise is fulfilled ; I have shown how a,mass,mass,"of compact ice may be liquefied by pressure , in parallel planes perpendicular to the direction of the force ,",N,GEO,None,S,NP 'of',,DT,IN,GEOLOGY,,._SENT In_IN my_PP$ paper_NN on_IN the_DT Physical_NP Properties_NPS of_IN Ice_NP this_DT promise_NN is_VBZ fulfilled_VVN ;_: I_PP have_VHP shown_VVN how_WRB a_DT,mass_NN,"of_IN compact_JJ ice_NN may_MD be_VB liquefied_VVN by_IN pressure_NN ,_, in_IN parallel_JJ planes_NNS perpendicular_JJ to_TO the_DT direction_NN of_IN the_DT force_NN ,_,",John Tyndall,J.Tyndall,270,"On the Veined Structure of Glaciers; with Observations upon White Ice-Seams, Air-Bubbles and Dirt-Bands, and Remarks upon Glacier Theories",15158,fla,1859,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=5701,25811694,25811694.0
2,8422,3064,0.001551892,rstl_1873_0004,rstl,"cone in 7 minutes after the commencement of filling , which may be taken as the time in which the",mass,mass,of iron in the cone had reached 21 Fahr. It was also found that the firm surrounding solid crust had,M,MAT,None,S,NP 'of',,DT,IN,GEOLOGY,,"cone_NN in_IN 7_CD minutes_NNS after_IN the_DT commencement_NN of_IN filling_NN ,_, which_WDT may_MD be_VB taken_VVN as_IN the_DT time_NN in_IN which_WDT the_DT",mass_NN,of_IN iron_NN in_IN the_DT cone_NN had_VHD reached_VVN 21_CD Fahr._NP It_PP was_VBD also_RB found_VVN that_IN the_DT firm_NN surrounding_VVG solid_JJ crust_NN had_VHD,"Robert Mallet, A. M., C. E., M. R. I. A., F. R. S.",R.Mallet,101,III. Volcanic energy: an attempt to develop its true origin and cosmical relations.,41988,article,1873,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=8421,34338793,34338793.0
3,2627,710,0.001669615,108074,transactions ,"perpendicularly towards that surface , saving an abatement that must be made for the inequality of pressure upon the central",mass,mass,", when that is not in equilibrium . But if the central mass be infinitely , small , whether it",N,GEO,None,S,DP NP,,JJ,WRB,PHYSICS,,"perpendicularly_RB towards_IN that_DT surface_NN ,_, saving_VVG an_DT abatement_NN that_WDT must_MD be_VB made_VVN for_IN the_DT inequality_NN of_IN pressure_NN upon_IN the_DT central_JJ",mass_NN,",_, when_WRB that_DT is_VBZ not_RB in_IN equilibrium_NN ._SENT But_CC if_IN the_DT central_JJ mass_NN be_VB infinitely_RB ,_, small_JJ ,_, whether_IN it_PP",James Ivory,J.Ivory,365,On the Equilibrium of a Mass of Homogeneous Fluid at Liberty,20924,fla,1834,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=2626,18121682,18121682.0
4,1197,86,0.0018341479999999999,107114,transactions ,"took place ; and , when this had subsided , the whole was poured into a proper vessel . The",mass,mass,", when cold , was grayish-brown . Boiling distilled water was poured upon it ; and the brown residuum ,",N,GEO,None,S,DP NP,,DT,WRB,GEOLOGY,,"took_VVD place_NN ;_: and_CC ,_, when_WRB this_DT had_VHD subsided_VVN ,_, the_DT whole_NN was_VBD poured_VVN into_IN a_DT proper_JJ vessel_NN ._SENT The_DT",mass_NN,",_, when_WRB cold_JJ ,_, was_VBD grayish-brown_JJ ._SENT Boiling_VVG distilled_JJ water_NN was_VBD poured_VVN upon_IN it_PP ;_: and_CC the_DT brown_JJ residuum_NN ,_,",Charles Hatchett,C.Hatchett,170,"An Analysis of a Mineral Substance from North America, Containing a Metal Hitherto Unknown",5153,fla,1802,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=1196,12965662,12965662.0
5,10367,3449,0.001866066,rstl_1881_0001,rstl,"are curious foot-shaped bones , and are extremely solid , especially the dentigerous "" toe""-\#151 ; an oblique , oval",mass,mass,", looking straight towards its fellow , from which it is separated by a space half the width of the",N,BIO,None,S,DP NP,,JJ,VVG,BIOLOGY,,"are_VBP curious_JJ foot-shaped_VVN bones_NNS ,_, and_CC are_VBP extremely_RB solid_JJ ,_, especially_RB the_DT dentigerous_JJ ""_`` toe""-\#151_JJ ;_: an_DT oblique_JJ ,_, oval_JJ",mass_NN,",_, looking_VVG straight_RB towards_IN its_PP$ fellow_NN ,_, from_IN which_WDT it_PP is_VBZ separated_VVN by_IN a_DT space_NN half_NN the_DT width_NN of_IN the_DT","William Kitchen Parker, F. R. S.",W.K.Parker,457,I. On the structure and development of the the skull in the batrachia. \#x2014;Part III.,168854,article,1881,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=10366,40903702,40903702.0
6,2336,558,0.0020268770000000003,107925,transactions ,", be represented by A'x , Bly , B z : and in like manner the attractions of the interior",mass,mass,"abc upon the particle , may be denoted by 141 A "" x , B "" y , and the",N,F,None,S,DP NP,,JJ,NN,ASTRONOMY,"but does talk about forces, but selects a particle from the interior of the hypothetical mass they have labelled abc ",",_, be_VB represented_VVN by_IN A'x_NP ,_, Bly_NP ,_, B_NP z_SYM :_: and_CC in_IN like_IN manner_NN the_DT attractions_NNS of_IN the_DT interior_JJ",mass_NN,"abc_NN upon_IN the_DT particle_NN ,_, may_MD be_VB denoted_VVN by_IN 141_CD A_NP ""_'' x_SYM ,_, B_NP ""_`` y_NP ,_, and_CC the_DT",James Ivory,J.Ivory,365,"On the Equilibrium of Fluids, and the Figure of a Homogeneous Planet in a Fluid State",15138,fla,1831,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=2335,17249271,17249271.0
7,18799,4792,0.0020709170000000002,rsta_1919_0003,rsta,"extends to infinity and the total mass is infinite ; when , the matter extends to infinity but the total",mass,mass,"finite ; when , the matter is of finite extent and of finite total mass . As increases the variations",M,MATTER,None,S,DP NP,,JJ,JJ,ASTRONOMY,,"extends_VVZ to_TO infinity_NN and_CC the_DT total_JJ mass_NN is_VBZ infinite_JJ ;_: when_WRB ,_, the_DT matter_NN extends_VVZ to_TO infinity_NN but_CC the_DT total_JJ",mass_NN,"finite_JJ ;_: when_WRB ,_, the_DT matter_NN is_VBZ of_IN finite_JJ extent_NN and_CC of_IN finite_JJ total_JJ mass_NN ._SENT As_RB increases_VVZ the_DT variations_NNS","J. H. Jeans, M. A., F. R. S.",J.H.Jeans,326,"III. Bakerian lecture, 1917. \#x2014; The configurations of rotating compressible masses.",16307,article,1919,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=18798,77574152,77574152.0
8,13538,4219,0.002111396,rstb_1894_0012,rstb,"of Anthocem but morphologically speaking , in both cases we have to deal with sterilized cells of\#171 ; potential sporogenous",mass,mass,", and in both cases the organisms concerned are such a give good reason to recognize in the presence of",N,BIO,None,S,DP NP,,JJ,CC,BIOLOGY,,"of_IN Anthocem_NP but_CC morphologically_RB speaking_VVG ,_, in_IN both_DT cases_NNS we_PP have_VHP to_TO deal_VV with_IN sterilized_VVN cells_NNS of\#171_JJ ;_: potential_JJ sporogenous_JJ",mass_NN,",_, and_CC in_IN both_DT cases_NNS the_DT organisms_NNS concerned_VVN are_VBP such_PDT a_DT give_VVP good_JJ reason_NN to_TO recognize_VV in_IN the_DT presence_NN of_IN","F. O. Bower, D. Sc., F. R. S.",F.O.Bower,131,Studies in the morphology of spore-producing members.\#x2014;Equisetine\#xE6; and Lycopodine\#xE6;.,58763,article,1894,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=13537,53380250,53380250.0
9,1463,186,0.002585576,107251,transactions ,", with potash ; and this idea is favoured by some trials that I made to separate silex from the",mass,mass,", by boiling it in concentrated fluoric acid ; the substance did not seem to be much altered by this",N,C,None,S,DP NP,,DT,IN,CHEMISTRY,,",_, with_IN potash_NN ;_: and_CC this_DT idea_NN is_VBZ favoured_VVN by_IN some_DT trials_NNS that_WDT I_PP made_VVD to_TO separate_VV silex_NN from_IN the_DT",mass_NN,",_, by_IN boiling_VVG it_PP in_IN concentrated_JJ fluoric_JJ acid_NN ;_: the_DT substance_NN did_VVD not_RB seem_VV to_TO be_VB much_RB altered_VVN by_IN this_DT",Humphry Davy,H.Davy,257,"The Bakerian Lecture: An Account of Some New Analytical Researches on the Nature of Certain Bodies, Particularly the Alkalies, Phosphorus, Sulphur, Carbonaceous Matter, and the Acids Hitherto Undecompounded; With Some General Observations on Chemical Theory",20948,fla,1809,https://corpora.clarin-d.uni-saarland.de/cqpweb/rsc_v6_0_1_open_web/context.php?qname=gvgfdogc1nk&batch=1462,13839358,13839358.0
