Number,ID," ""title"""," ""author"""," ""ispartof"""," ""year"""," ""collection"""," ""url"""," ""left"""," ""hit"""," ""right""",Role
1,abd86e0c-e155-41f5-b68b-0d085150b0b2,"De watergeuzen, heldenspel.",Adriaan Loosjes,,1790,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2164:mpeg21,"door dien zang mijn boezem Iugt te geeven . Zij zingt . Blaas , lentewind blaas uw '",geur,"Door bosschen beemden , hoven , 't Ontluikend bloempje , frisch van kleur , Heff vrolijk 't hoofd",object
2,e10d9646-011b-11e4-b0ff-51bcbd7c379f,Schat der gesontheyt,Johan van Beverwijck,,1660,DBNL,http://www.dbnl.org/titels/titel.php?id=beve001scha01,", dan als het met boter gedaen werdt . Want al dat in de pan gefreut wort , geeft een quaden",geur,", als 't in de maegh verteert , en die bederft d'ander spijse die daer by is , en maeckt een",object
3,e228d2fc-011b-11e4-b0ff-51bcbd7c379f,"Den lacchenden Apoll, uytbarstende in drollige rymen",Pieter Elsevier,,1667,DBNL,http://www.dbnl.org/titels/titel.php?id=else006lacc01,"toesmijt op Papier , die zijn niet van die kleur Als andere drollen zijn : maar geven zulk een",geur,", Als Amber en Civet , dat doet'er meenig gapen , Als klokspijs naar een drol : ziet hier",object
4,3e1c12d0-7fc6-4c05-9079-afccb4873fbe,"Treurende uuren der eenzaamheid, besteed ter nagedagtenisse van myne waerdige echtgenoote Jannetje van Ouwerkerk.",Dirk van den Brink,,1786,EDBO,http://resolver.kb.nl/resolve?urn=dpo:11310:mpeg21,"gelyk eenefchaduw ontvlugt ! Zoo prykt eene Schoone Bloem , en spreid haare zoete",geur,"en blinkende gloed van haar , terwyl eenen vergiftigen worm haare teedere wortelen afknaagt",object
5,e4140348-011b-11e4-b0ff-51bcbd7c379f,Delfs Cupidoos schighje,Arnold Bon,,1652,DBNL,http://www.dbnl.org/titels/titel.php?id=bon_001delf01,"gaef , want geen Raef , Heeft een blat , van hen knopjen af gevat : En hen kleur , geeft meer",geur,", Als den Amber oyt kan geven , 't Schijnt sy sullen eeuwigh leven . 4 . Ey siet hoe dit pronck",object
6,dff643a2-011b-11e4-b0ff-51bcbd7c379f,'t Amsteldams Minne-Beeckie,anoniem Amsterdams minne-beekje,,1645,DBNL,http://www.dbnl.org/titels/titel.php?id=_ams015amst05,"Rosamonde mijn beminde , Die minne-pijltjes voert in uwe ooghjes Als zijnde minne-booghjes , V aesems",geur,", als lieffelijcke winde , Doet my verkoelingh vinde , Als mijn de minne , door",agent
7,a4dcb453-79df-4e61-a6a5-c6ac465f3f9c,De aloude staat en geschiedenissen der Vereenigde Nederlanden. [2] [2],Engelbertus Matthias Engelberts,,1786,EDBO,http://resolver.kb.nl/resolve?urn=dpo:5969:mpeg21,"kan . Deeze valt daarentegen in het Noorden niet , en'de Boter kan daar lang",geur,"en ' finaal behouden , waarom fommiger de eerde uitvinding dezelve aan ; de belten",object
8,e2ce71a8-011b-11e4-b0ff-51bcbd7c379f,Chaos ofte verwerden clomp,Cornelis Stribee,,1643,DBNL,http://www.dbnl.org/titels/titel.php?id=stri015chao01,"Kruytes sent , Soo wert dit Meyr-kransje u vereert ; Wiens Bloempjes schoone kleur En kruytes soete",geur,", Betuygen hoe mijn lief de meer vermeert , Ick hebs ' in venis hof gepluckt ,",agent
10,8541bcd2-3ea1-49f8-a4d2-4b5458704e16,De dood van Lodewyk de XVIde koning van Frankryk en Navarre [...]. Treurspel,,,1793,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2780:mpeg21,"deheerlyke bloem , die rondsom van haar , waar zy zig ook wendde , zulke lieflyk",geuren,"verspreidde als van haare fteel afgerukt , in eene kwy . nende in eene vertwyffelde toestand",object
11,da2e7cf6-dbae-4df3-a5b2-b9c676c2b9e8,Leerzame en vermaeklijke natuur- en huishoukundige[!] bibliotheek,,,1790,EDBO,http://resolver.kb.nl/resolve?urn=dpo:5898:mpeg21,"de uitwaseming der bloemen veroorzaekt , voor handen zijn . Men kan de Sterke",geur,"van zommige bloemen niet lang ruiken , zonder geweldige hoofdpijn , zelfs flauwten en",patient
13,e1d42946-011b-11e4-b0ff-51bcbd7c379f,"Pvb. Ovidii Nasonis Minne-kunst, gepast op d'Amsterdamsche vryagien: met noch andere minne-dichten ende mengel-dichten, alle nieu ende te voren niet gesien.",Johan van Heemskerck,,1622,DBNL,http://www.dbnl.org/titels/titel.php?id=heem001pubo01,"geschaet . 'k Was naeu wt dees Laen te degen , Of terstont so quam my tegen Sulcken",geur,", dat ick daer voor Musck noch Amber-reuck verkoor . 't Scheen de soete weste winden Wat sy",agent
13,68308c22-2c4d-425b-a823-be67516d8a7f,"Nieuwe vaderlandsche bibliotheek, van wetenschap, kunst en smaak. [7] [7]",,,1797,EDBO,http://resolver.kb.nl/resolve?urn=dpo:6817:mpeg21,"Uw gloed , 6 wanhoop door geen ' tranenstroom geblust . Wijkt vaak , waar 't koeltjen gul den",geur,"der bloemen ademt , En daauw van 't boschloo kust . ! Ta . schoon de omroerde ziel een",patient
14,e18ebbb8-011b-11e4-b0ff-51bcbd7c379f,Nederlandtsche gedenck-clanck,"Adriaen Valerius, Nicolaas Bernardus Tenhaeff, P.J. Meertens, A. Komter-Kuipers",,1626,DBNL,http://www.dbnl.org/titels/titel.php?id=vale001nede01,III . De Boomen ( schoon verciert met bloeysels lief van verwen ) Die gaven soeten,geur,", de Biekens quamen swerven , De glad-beschubde-visch aldaer in 't water was , Elck dierken",object
14,ed70ba7f-da70-4b1c-9302-47096ee8e029,"Vaderlandsche bibliotheek van wetenschap, kunst en smaak. [1] [1]",,,1789,EDBO,http://resolver.kb.nl/resolve?urn=dpo:5822:mpeg21,"den verkvvikkclijken Lcnteftraal op u voelt nederzinken , dc Natuur om u heen hoort juichen , den",geur,"van 't bloeiende aardrijk riekt , en gij dan ook zo graag uwe oogen op de schepping",patient
15,250e2577-ef9b-4953-9ba0-f7c317bb70f0,Zak-bibliotheek van vernuft en smaak [2] [2],,,1797,EDBO,http://resolver.kb.nl/resolve?urn=dpo:3098:mpeg21,"aanriep te verdaan ; raakte zij een blcem aan , zo plukte hij dezelve in der ijl , rook de",geur,"weg , kuschte ze , , hield ze aan haar gezicht , en beduidde haar , dat de glans haarer",patient
16,5e5b34b2-dc07-4b23-b14e-ed5ffe47df87,"Gesprekken en overdenkingen, over het lijden en sterven, van [...] Jesus Christus. Derde deel",Wilhelm Leendert Krieger,,1793,EDBO,http://resolver.kb.nl/resolve?urn=dpo:9118:mpeg21,"Op de paden van recht , billijkheid en Godsvrees , is waare eer gestrooid die geeft haaren",geur,"gelijk dat kruid , dat zich meest laat rieken , als het roet voeten getrapt wordt .",object
17,06512299-f68c-492f-ad70-1d3da1f140c0,Weekblad voor kinderen [1] [1],,,1798,EDBO,http://resolver.kb.nl/resolve?urn=dpo:1472:mpeg21,gelyk de anemonen en ranunkels andere door haar teder en fyn maakzel zommige door den liefelyken,geur,", dien zy verspreiden en gene wederom door een ' zachten gloed . De wyze hand",object
18,0a489845-203c-43df-83f8-1cc5d89f3ef1,Tooneelspelen. [4] [4],"Edward Capell, William Shakespear, Johann Joachim Eschenburg, Bernardus Brunius",,1778,EDBO,http://resolver.kb.nl/resolve?urn=dpo:11418:mpeg21,om ftryd beyveren om haar te dienen . Uit het jacht rees een lierke welriekende,geur,", die een'aangenaamen lucht langs den nabygelegene oever verspreidde Da ftad flotte al haar volk",agent
19,51d045be-312f-4e8a-8976-06bf82c03581,"Oude joodsche brieven, saemenspraeken en verhaelen, van sommige tydgenooten des zaligmakers. [1] [1]",Johan Koenraad Pfenninger,,1785,EDBO,http://resolver.kb.nl/resolve?urn=dpo:8412:mpeg21,", gy Hope's tydf Daer jaer op jaer myn ziel verblyd 'T gezicht de hope prikkelt ; Wyl ik de",geur,"der bloem geniet , Zie ik de vruchten , in 't verschiet Van tyd tot tyd ontwikkeld . Hoe zelden",patient
20,f619888e-9384-4e8d-a6a7-99c73d68af7c,De bedriegster gestraft. Kluchtig blyspel.,Frans van Aken,,1785,EDBO,http://resolver.kb.nl/resolve?urn=dpo:4614:mpeg21,", 't is alleer beste woar , Gie kont ' er voast op oan , doat zie is regt curieuze 2ie geeft joe einen",geur,", ( hy kleeft haar de worst onder de neusJ Roekt onder ouwe neuze ! Juf B L Y S P E L ga",object
20,e2a4a2ba-011b-11e4-b0ff-51bcbd7c379f,De beklaagelyke dwang,"Isaak Vos, Félix Lope de Vega",,1671,DBNL,http://www.dbnl.org/titels/titel.php?id=lope001bekl02,"Dan met een broek vol wints voort na een dist'lateur ; Of met een waterke , of poeyerke , dees",geur,", Die hem niet wel en ruykt , ten besten te verzoeten . Ik vrees dat onzen haan dit ook",patient
21,e00e7b20-011b-11e4-b0ff-51bcbd7c379f,Verhandelinge van de opvoedinge en ziekten der kinderen,Steven Blankaart,,1684,DBNL,http://www.dbnl.org/titels/titel.php?id=blan012verh01,"verlooren had ; Maar de bladen van de Japanse Campher gevreven ofte gekaauwt zijnde , geeft een goede",geur,", die krachtig is , maar de kracht daar van is te vlug , en zijn Gom niet",object
22,e2d4e7cc-011b-11e4-b0ff-51bcbd7c379f,Dichtkonst van verscheide stoffen,"Rumoldus Hogerbeets, Johan Beets",,1668,DBNL,http://www.dbnl.org/titels/titel.php?id=beet004dich01,"uwe Wanden kleeden Met veel ingeweven kleur , Wat heeft dat by onze spreeden , En haer levend ' zoete",geur,", Die niet by uw ' maexzels staet Maer onz ' huis en veldt beslaet . Al het schrapen ,",agent
22,8e321995-a7ea-4f5b-b48e-69a7e0115d49,Tooneelspelen. [1] [1],"Edward Capell, William Shakespear, Johann Joachim Eschenburg, Bernardus Brunius",,1778,EDBO,http://resolver.kb.nl/resolve?urn=dpo:11415:mpeg21,"voorbaarig , maar niet duurzaam , aangenaam , doch niet bestendig voor mets meer ' dan een",geur,"die slegts een oogenblik de reuk verlevendigt ; ophelen Voor niets meer , als dat ' laeste",agent
24,3649777f-6f92-4da3-a40c-b2b1761901b3,"Proeve van herders en visscherszangen, benevens eenige mengelingen.",Adriaan Loosjes,,1794,EDBO,http://resolver.kb.nl/resolve?urn=dpo:8610:mpeg21,"ik ' er maar dertig van deeze , voor mijne moeder plukken ... ó het is of de verkwikkende",geur,"mij toegenaemt A d me e t. Pluk ' er van naar uw behaagen , zoveelen , als gewenscht",object
28,c2479f30-c470-448e-b0b2-cc6232440c73,Viertal vaderlandsche tooneelspellen.,Simon Rivier,,1790,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2806:mpeg21,"gebragt heeft tot een broeijing Die vruchten heeft gebaard en tot een rypheid bragt , Wier",geur,te kennen gaf zyn ' Hoofdbefproeijers magt . Dit alles deedt den haat verveelen fel ontbranden,agent
31,e1fab1f6-011b-11e4-b0ff-51bcbd7c379f,Het eerste deel van de Amsterdamse mengel-moez,"anoniem eerste deel van de Amsterdamse mengel-moez, Het",,1658,DBNL,http://www.dbnl.org/titels/titel.php?id=_ams004amst01,myn rouw Gewis’ die is ’ geheel onduldelyk ; Oft als een roos ’ wen die verliest haar soete,geur,", en bloos Word ick . ach 'k bezwyk ! 2 . Wanneer ick overpeis ’ die reis toen",object
31,3e2ca593-3a84-4f9d-9d24-bbe9ded3ddcf,Nieuw geschenk voor de jeugd. [3] [3],"Joannes Florentius Martinet, Ahasuerus van den Berg",,1791,EDBO,http://resolver.kb.nl/resolve?urn=dpo:8146:mpeg21,"in 't groene loof verschuilen Of het zwellend knopje ontpuilen , Dat ons reeds zijn",geuren,"biedt ; Juist in die bekoorlijkheden Van gemoed en Stille zeden , Ongedwongen , reine",object
33,e460142c-011b-11e4-b0ff-51bcbd7c379f,"De gulden harpe, inhoudende al de liedekens, die voor desen by K.V.M. gemaeckt, ende in verscheyden Boecxkens uyt-ghegaen zijn",Karel van Mander,,1627,DBNL,http://www.dbnl.org/titels/titel.php?id=mand001guld02,"present , Mijn borsten uyt faveur : De Lelien seer jent Gheven oock excellent Den lieffelijcken",geur,", En daer is voor ons deur Edel vrucht menighfout , Mynen vrient wel vermaert ,",object
34,e3707520-011b-11e4-b0ff-51bcbd7c379f,'t Geestelijck kruydt-hofken,anoniem Geestelijck Kruydt-hofken,,1657,DBNL,http://www.dbnl.org/titels/titel.php?id=_gee010gees03,"tot stanck soud dyen , Maer doeter in kost'lijcke Speceryen . Boven 't proffijt hebt ghy den soeten",geur,", En doet u reys niet om een slechte leur . Houdt goeden moet , ghy hebt een",object
35,e29ac722-011b-11e4-b0ff-51bcbd7c379f,"Het paradys der geestelijcke en kerckelijke lof-sangen, op de principaelste feest-dagen des gheheelen jaers",Aegidius Haeffacker,,1679,DBNL,http://www.dbnl.org/titels/titel.php?id=haef004para03,"in den Hof Al van des Hemels pleyn , Als roosen , puer playsant Schoon staen geplant , Geven oock een",geur,", En een schoon coleur , Geven oock een geur , Godts sinnen . O fleur ! O reyne fleur ,",object
36,34e73c86-3d55-441c-9d81-4a427750f2af,Onderwys voor kinderen. [1] [1],Willem Emmery de Perponcher Sedlnitzky,,1782,EDBO,http://resolver.kb.nl/resolve?urn=dpo:4968:mpeg21,"zulk een geheel veld , in vollen bloei , ftaat , dan verspreid het , in de lugt , den lekkeren",geur,", dien men ruiken kan . Maar daar van is de tyd nu voorbede peulen , of zaadhuisjes , die in",patient
37,e0090bb8-011b-11e4-b0ff-51bcbd7c379f,"Opera op de zinspreuk: Zonder spijs, en wijn, kan geen liefde zijn",Govert Bidloo,,1686,DBNL,http://www.dbnl.org/titels/titel.php?id=bidl001oper01,Dat zy . .... Maar de lucht Leeft van zoet gerucht . Iris . Al de wolken die hier zweeven Geeven,Geur,", en gloed , wyl 't pluimgediert , Voor , en om den Zetel zwiert . Ceres . Komt herwaards aan",object
38,e2a51312-011b-11e4-b0ff-51bcbd7c379f,Sardanapalus,David Lingelbach,,1699,DBNL,http://www.dbnl.org/titels/titel.php?id=ling001sard01,"klimmen . De Goude vaten , vol geschonken tot de kimmen , Verkwikken hart , en oog , door haare",geur,", en gloed ; Dit is een Hof , Mevrouw , vol weelde , en overvloed . Daar 't altoos",agent
39,69e57cc7-632e-46af-9f1c-7e3eaebaa18d,"Blanka en Henriko, treurspel.",Friedrich Gensicke,,1800,EDBO,http://resolver.kb.nl/resolve?urn=dpo:809:mpeg21,"daarom in de velden der verganglykheid ó datishetbevalligeroozenperk , wiens weldadige",geur,de koortsige Finantien des ongelukkigen onuitspreekelyk verzagt : waarom zou ik,agent
42,5292f976-cc8b-424c-9c9a-e5ba27c960ef,"Clarissa, of De mislukte boosheid, tooneelspel.",Lieve van Ollefen,,1781,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2609:mpeg21,"; Daar zij in ons een ' trek naar 't Stille land ontvonkt ; Het land , waar",geur,"en kleur , en duizende orgelkeelen De ziel vergasten ; waar veel meer dan kunsttooneelen "" Geopend worden",agent
44,434cc719-4f25-4c49-92da-124897dac992,"Eduard en Eleonora, treurspel.","Izaak de Clercq, James Thomson",,1787,EDBO,http://resolver.kb.nl/resolve?urn=dpo:276:mpeg21,"lagchend groen verschynen Zy wekt , op Libanon , gebloemte en kruiden op , En spreid een zagte",geur,"van Kamers vruchtbren top , 'k Heb myn ontwerp volbragt , zo ik den prins kan spreken TWEEDE",object
46,abd86e0c-e155-41f5-b68b-0d085150b0b2,"De watergeuzen, heldenspel.",Adriaan Loosjes,,1790,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2164:mpeg21,"hij 't hoog altaar , gantsch eerbied , opgetreden Of 't gulden wijrookvat verspreid den heilgen",geur,". Het avondlied vangt aan ... maar ijlings barst de deur , Bij een verward geschreeuw",object
47,e3486b5c-011b-11e4-b0ff-51bcbd7c379f,Amsteldamse vrolikheyt,anoniem Amsteldamse vrolikheyt,,1647,DBNL,http://www.dbnl.org/titels/titel.php?id=_ams009amst01,"' hooft : Sy sit en past De steeltjes vast , Van Lelyen en Roosen , Wiens soete",geur,", En schoone kleur , Geen Boreas verdooft . De Eng'len , Vermeng'len 't Oranjen met het bloosen",agent
49,c4291bde-29b2-4cde-9370-1790738aee1c,Schouwtooneel voor het menschelijk gevoel,Charles Georges Fenouillot de Falbaire de Quingey,,1790,EDBO,http://resolver.kb.nl/resolve?urn=dpo:11245:mpeg21,", wanneer gij deeze roos vlakte , daar ze nog aangenaam bloeide , en haar welriekende",geuren,"om u verspreid zoudt gijze wel , bij haare vernieling , nog verachtelijk in het ltof",object
50,e43d46b8-011b-11e4-b0ff-51bcbd7c379f,Syons wijn-bergh,M. van de Speybroek,,1670,DBNL,http://www.dbnl.org/titels/titel.php?id=spey001syon02,"staet de Wey Voor 's Menschen oogen ; 't Gebloemt , met schoone kleur , Dat geeft een soete",geur,", En toont Gods lof daer deur , Na haer vermogen ; De Tulpjes , Lel'jen en Angieren Haer",object
50,9f76ad5e-8270-4dac-9783-5ff59c696a91,"Vaderlandsche bibliotheek van wetenschap, kunst en smaak. [12] [12]",,,1789,EDBO,http://resolver.kb.nl/resolve?urn=dpo:7388:mpeg21,fijner gewaarwordingen gevoelen iZ zijn eigen beschimping Wanneer gij in een lieven Lentemorgen de,geuren,"der ontluikende bloemen in ademt , wanneer 't gezang der vogelen diep in uwe",patient
52,e10d9646-011b-11e4-b0ff-51bcbd7c379f,Schat der gesontheyt,Johan van Beverwijck,,1660,DBNL,http://www.dbnl.org/titels/titel.php?id=beve001scha01,"dampen stincken . O ! 't is een ander nat waer van de Goden drincken , Dat heeft een frisschen",geur,", en vry albeter smaeck , My dunckt ick word een Godt als ick het vocht genaeck . Voor waer",object
53,eb3b380f-e0cf-453b-a526-1430621498b0,"Nieuwe vaderlandsche bibliotheek, van wetenschap, kunst en smaak. [3] [3]",,,1797,EDBO,http://resolver.kb.nl/resolve?urn=dpo:6813:mpeg21,"veele opzichten , aan welriekende specerijen die ontdoken of getampt de sterkte en aangenaamste",geuren,"verspreiden Want het geluk vertoont ons niet zelden de ondeugden , en het ongeluk",object
54,e10d9646-011b-11e4-b0ff-51bcbd7c379f,Schat der gesontheyt,Johan van Beverwijck,,1660,DBNL,http://www.dbnl.org/titels/titel.php?id=beve001scha01,"wert nuttelijck gemengt in 't war-moes met beet en suyring , ende geeft het een goede",geur,", ende raeuw-met Lattouwe ende andere zalaet , het welck den appetijdt verweckt . Met andere",object
56,e3f7e24e-011b-11e4-b0ff-51bcbd7c379f,Houwelick,Jacob Cats,,1625,DBNL,http://www.dbnl.org/titels/titel.php?id=cats001houw01,"vrouwen , Kan verre boven al den meesten hinder brouwen : Wel sijt dan niet geneycht tot haren soeten",geur,", Eylaes een droncken wijf is maer een open deur . Ghy wacht , oock even dan , u",patient
57,e1c6a33e-011b-11e4-b0ff-51bcbd7c379f,Parnassus aan 't IJ,Jan Zoet,,1663,DBNL,http://www.dbnl.org/titels/titel.php?id=zoet001parn01,"vermaakte : ( Wijl ik 't gedierte , daar , als in Niuuw-nêerland , sach :) Ik vond geen",geur,", geen reuk , die doe mijn Dichtkonst smaakte : 't Scheen , of sy , in d'onlust geheel",patient
