Number,ID," ""title"""," ""author"""," ""ispartof"""," ""year"""," ""collection"""," ""url"""," ""left"""," ""hit"""," ""right""",Role
1,06512299-f68c-492f-ad70-1d3da1f140c0,Weekblad voor kinderen [1] [1],,,1798,EDBO,http://resolver.kb.nl/resolve?urn=dpo:1472:mpeg21,"niet alleen met eene Schoone gedaante pronken , maar nog boven dien een liefelyken",reuk,"verspreiden Sommige zyn wit , andere blauw , deze bleekrood en gene wederom geelachtig",object
2,68308c22-2c4d-425b-a823-be67516d8a7f,"Nieuwe vaderlandsche bibliotheek, van wetenschap, kunst en smaak. [7] [7]",,,1797,EDBO,http://resolver.kb.nl/resolve?urn=dpo:6817:mpeg21,"aan de lucht bloot gefield Den ooften begon de masfa te fermenteeren , de giftige bedwelmende",reuk,„ ontdekte zich Vijfcher maar voor deze keer zette ik dezelve niet in de zon ;,agent
3,d07e3578-6a18-4718-96eb-a42af1576eb7,"De waare huwelyksliefde, of Reinhart en Nerinde, voorspel [...] ter gelegenheid der echtverëeniging van [...] Willem Frederik, erfprinse van Orange en Nassau [...] en [...] Frederika Louisa Wilhelmina, prinsesse van Pruissen",,,1791,EDBO,http://resolver.kb.nl/resolve?urn=dpo:1696:mpeg21,"ons de gunstige natuur geeft ! - zy verenschen niet , 't is waar , maar zy hebben geen aangenaame",reuk,"— pcb , was het in de lieve lente , ik hadde noch liever A 3 eci * 6 DE",object
4,bb25a56a-c5f9-42c3-ae3d-85ee6db070a9,"Vaderlandsche bibliotheek van wetenschap, kunst en smaak. [6] [6]",,,1789,EDBO,http://resolver.kb.nl/resolve?urn=dpo:7380:mpeg21,"bijzonder eigen , ontstaande misschien uit zijne afwezigheid van partijschappen , dat zij eenen",reuk,"hebben van die onpartijdigheid , , welke altoos het geving is van vrij te",patient
7,1200805b-f62c-44f5-b34e-2fc1cc3a4bec,"Ontdekking van de staatkunde der natuur; of Beschryving van het wonderbaar gemeenebest der honing-byen, en zyde-wurmen",,,1789,EDBO,http://resolver.kb.nl/resolve?urn=dpo:1240:mpeg21,tegen ons wyzende op de bloeijende boekwijt wel - der Natuur * roo welkers lieffelyke,reuk,"ons verkwikten , hoe myne Huisgenoten zig op dit veld hebben verspreid en hoe naarstig",agent
8,bd703b02-875e-4c3b-a86f-1973b97f36cf,"Dedoove, of Het huis vol volk.",Pierre Jean Baptiste Choudard Desforges,,1797,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2331:mpeg21,"Mijn Heer ! gij ontrust alle menschen die hier gelogeerd zijn , gij zult mijn huis in een kwade",reuk,"brengen . Wat ben je dan voor een mensch ? Als dit zoo voord gaat , zal ik mijn",object
12,a2d763fb-de3b-4cd2-b4bc-f9b1f5ceb4c4,"Proefneemingen over de spysverteering van den mensch, en van onderscheiden soorten van dieren.","Lazzaro Spallanzani, Johannes Laurentius van der Wagt, Jean Senebier",,1786,EDBO,http://resolver.kb.nl/resolve?urn=dpo:1195:mpeg21,"grysachtig-wit , en vry dik afzetsel Het vleesch van de andere buis hadt niet den minsten",reuk,"van rotting ; het was voor een groot gedeelte ontbonden , en in het maagsap ingelyfd",object
14,b8984f05-3741-430d-b9f5-bd2082960e9d,"De canunnik van Milaan, of De onverwachte avond-maaltyd.","Alexandre Vincent Pineu Duval, Pieter Boddaert",,1797,EDBO,http://resolver.kb.nl/resolve?urn=dpo:2495:mpeg21,".... gij zult ' er misschien om lagchen Ik merkte . , mijn hart .... de natuur , de",reuk,".... Captein Ik zal onthaalen , wij zijn vermaagtschapt MARIE , Drink de fles uit , en wacht met",patient
17,9306504d-00b5-4b1b-b691-e9283c6ab1b6,"De schoenmaker van Damaskus, tooneelspel.","Henricus Franciscus Tollens, Charles Antoine Guillaume Pigault-Lebrun",,1800,EDBO,http://resolver.kb.nl/resolve?urn=dpo:282:mpeg21,"MORAD . Ik zou tot in de hel dringen , om uwe fornuizen en pitten te ontvlugten en van den",reuk,"uwer Spaansche peper , en al dat drommels Hinkend goed , ontfangen te zyn . Ik ben geen kok ,",patient
18,4429d331-d87c-4179-bfa7-a7adb96ff76c,"Vaderlandsche bibliotheek van wetenschap, kunst en smaak. [10] [10]",,,1789,EDBO,http://resolver.kb.nl/resolve?urn=dpo:7386:mpeg21,"hebben — Maar eens gefield zijnde , dat het ligchaam . van stephanus zulk eenen aangenamen",reuk,"van zich verspreid hadt , dan immers kan daar uit nog niet bewezen worden , dat",object
